mechanism,attack_class,strength,n,material_fraction_tau0,material_fraction_tau002,material_fraction_tau005,prediction_change_rate,mean_perturbed_entry_fraction
mean_shift,adaptive,0.02,600,0.29,0.0283333333333333,0.0033333333333333,0.3233333333333333,0.3254892578125
mean_shift,adaptive,0.05,600,0.395,0.0983333333333333,0.0133333333333333,0.45,0.3254892578125
mean_shift,adaptive,0.1,600,0.5366666666666666,0.2183333333333333,0.0533333333333333,0.6016666666666667,0.3254892578125
mean_shift,adaptive,0.25,600,0.685,0.4216666666666667,0.2166666666666666,0.7366666666666667,0.3254892578125
mean_shift,adaptive,0.5,600,0.7566666666666667,0.5233333333333333,0.3483333333333333,0.79,0.3254892578125
mean_shift,control,0.02,600,0.3283333333333333,0.0983333333333333,0.0583333333333333,0.3566666666666667,
mean_shift,control,0.05,600,0.4583333333333333,0.1966666666666666,0.1133333333333333,0.5,
mean_shift,control,0.1,600,0.5916666666666667,0.3533333333333333,0.245,0.6183333333333333,
scaling_drift,adaptive,0.02,600,0.4016666666666666,0.1083333333333333,0.0166666666666666,0.4666666666666667,0.3254892578125
scaling_drift,adaptive,0.05,600,0.5216666666666666,0.2716666666666666,0.11,0.57,0.3254892578125
scaling_drift,adaptive,0.1,600,0.5833333333333334,0.3583333333333333,0.2066666666666666,0.64,0.3254892578125
scaling_drift,adaptive,0.25,600,0.7183333333333334,0.47,0.3266666666666666,0.7733333333333333,0.3254892578125
scaling_drift,adaptive,0.5,600,0.8083333333333333,0.5333333333333333,0.3516666666666667,0.8716666666666667,0.3254892578125
scaling_drift,control,0.02,600,0.4833333333333333,0.225,0.1383333333333333,0.5366666666666666,
scaling_drift,control,0.05,600,0.575,0.4166666666666667,0.3033333333333333,0.6083333333333333,
scaling_drift,control,0.1,600,0.6433333333333333,0.5016666666666667,0.4133333333333333,0.6683333333333333,
