regime,policy,n_clean,clean_denominator,decision_fpr,n_benign,benign_hold,benign_block,benign_interruption_rate,nonmaterial_interruption_rate,n_material,unsafe_allow,unsafe_allow_rate,unsafe_allow_label_path,containment,residual_blind_material
I_X,family_calibrated,12000,12000,0.0564166666666666,1200,650,0,0.5416666666666666,0.48760548523206754,7008,4496,0.6415525114155252,,0.3584474885844749,2617
I_X,family_calibrated_strict,12000,12000,1.0,1200,1200,0,1.0,1.0,7008,0,0.0,,1.0,2617
I_X,serve_always,12000,12000,0.0,1200,0,0,0.0,0.0,7008,7008,1.0,,0.0,2617
I_X,union_uncalibrated,12000,12000,0.1231666666666666,1200,904,0,0.7533333333333333,0.4918248945147679,7008,4429,0.63199200913242,,0.3680079908675799,2617
I_XF,family_calibrated,12000,12000,0.05925,1200,603,0,0.5025,0.48048523206751054,7008,4368,0.6232876712328768,,0.3767123287671233,2617
I_XF,family_calibrated_strict,12000,12000,1.0,1200,1200,0,1.0,1.0,7008,0,0.0,,1.0,2617
I_XF,serve_always,12000,12000,0.0,1200,0,0,0.0,0.0,7008,7008,1.0,,0.0,2617
I_XF,union_uncalibrated,12000,12000,0.2014166666666666,1200,905,0,0.7541666666666667,0.5005274261603375,7008,4233,0.6040239726027398,,0.3959760273972603,2617
I_Ym,family_calibrated,12000,12000,0.0475,1200,0,0,0.0,0.0,7008,7008,1.0,,0.0,5450
I_Ym,family_calibrated_strict,12000,12000,1.0,1200,1200,0,1.0,1.0,7008,0,0.0,,1.0,5450
I_Ym,serve_always,12000,12000,0.0,1200,0,0,0.0,0.0,7008,7008,1.0,,0.0,5450
I_Ym,union_uncalibrated,12000,12000,0.0475,1200,0,0,0.0,0.0,7008,7008,1.0,,0.0,5450
I_XFY,family_calibrated,12000,12000,0.0545833333333333,1200,576,0,0.48,0.47600210970464135,7008,4394,0.6269977168949772,,0.3730022831050228,0
I_XFY,family_calibrated_strict,12000,12000,0.0545833333333333,1200,576,0,0.48,0.47600210970464135,7008,4394,0.6269977168949772,,0.3730022831050228,0
I_XFY,serve_always,12000,12000,0.0,1200,0,0,0.0,0.0,7008,7008,1.0,,0.0,0
I_XFY,union_uncalibrated,12000,12000,0.2573333333333333,1200,905,0,0.7541666666666667,0.5005274261603375,7008,4182,0.5967465753424658,,0.4032534246575342,0
I_XFY_trusted,family_calibrated,1200,1200,0.0,1200,532,85,0.5141666666666667,0.7739978902953587,7008,0,0.0,,1.0,0
I_XFY_trusted,family_calibrated_strict,1200,1200,0.0,1200,532,85,0.5141666666666667,0.7739978902953587,7008,0,0.0,,1.0,0
I_XFY_trusted,serve_always,1200,1200,0.0,1200,0,0,0.0,0.0,7008,7008,1.0,,0.0,0
I_XFY_trusted,union_uncalibrated,1200,1200,0.0,1200,837,85,0.7683333333333333,0.7953586497890295,7008,0,0.0,,1.0,0
