gate,svd_dim,split_seed,model_seed,model,attack,attack_class,mechanism,strength,delta_bal_acc,fire_exact,fire_union__I_X,fire_union__I_XF,fire_union__I_Ym,fire_union__I_XFY,fire_family_v12__I_X,fire_family_v12__I_XF,fire_family_v12__I_Ym,fire_family_v12__I_XFY,fire_family__I_X,fire_family__I_XF,fire_family__I_Ym,fire_family__I_XFY,decision__I_X__union_uncalibrated,decision__I_X__family_calibrated,decision__I_X__family_calibrated_strict,decision__I_XF__union_uncalibrated,decision__I_XF__family_calibrated,decision__I_XF__family_calibrated_strict,decision__I_XFY__union_uncalibrated,decision__I_XFY__family_calibrated,decision__I_XFY__family_calibrated_strict,decision__I_XFY_trusted__union_uncalibrated,decision__I_XFY_trusted__family_calibrated,decision__I_XFY_trusted__family_calibrated_strict
gate2_id_256,8,42,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,0.00390625,True,False,False,False,False,False,False,False,False,False,False,False,False,allow,allow,hold,allow,allow,hold,allow,allow,allow,block,block,block
gate2_id_256,8,42,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,0.0078125,True,False,False,False,False,False,False,False,False,False,False,False,False,allow,allow,hold,allow,allow,hold,allow,allow,allow,block,block,block
gate2_id_256,8,42,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,-0.0078125,True,True,True,False,True,True,True,False,True,True,True,False,True,hold,hold,hold,hold,hold,hold,hold,hold,hold,block,block,block
gate2_id_256,8,42,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,0.08203125,True,True,True,False,True,True,True,False,True,True,True,False,True,hold,hold,hold,hold,hold,hold,hold,hold,hold,block,block,block
gate2_id_256,8,42,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,0.09375,True,True,True,False,True,True,True,False,True,True,True,False,True,hold,hold,hold,hold,hold,hold,hold,hold,hold,block,block,block
gate2_id_256,8,42,42,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,0.00390625,True,True,True,False,True,False,True,False,True,False,True,False,True,hold,allow,hold,hold,hold,hold,hold,hold,hold,block,block,block
gate2_id_256,8,42,42,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,0.00390625,True,True,True,False,True,True,True,False,True,True,True,False,True,hold,hold,hold,hold,hold,hold,hold,hold,hold,block,block,block
gate2_id_256,8,42,42,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,0.08203125,True,True,True,False,True,True,True,False,True,True,True,False,True,hold,hold,hold,hold,hold,hold,hold,hold,hold,block,block,block
gate2_id_256,8,42,42,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,0.1015625,True,True,True,False,True,True,True,False,True,True,True,False,True,hold,hold,hold,hold,hold,hold,hold,hold,hold,block,block,block
gate2_id_256,8,42,42,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,0.11328125,True,True,True,False,True,True,True,False,True,True,True,False,True,hold,hold,hold,hold,hold,hold,hold,hold,hold,block,block,block
