all,attack,attack_class,mechanism,strength,regime,rule,n,n_fire,detection_rate
all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_X,union,600,6,0.01
all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_X,family_v12,600,4,0.006666666666666667
all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_X,family,600,4,0.006666666666666667
all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XF,union,600,58,0.09666666666666666
all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XF,family_v12,600,37,0.06166666666666667
all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XF,family,600,36,0.06
all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_Ym,union,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_Ym,family_v12,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_Ym,family,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XFY,union,600,58,0.09666666666666666
all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XFY,family_v12,600,36,0.06
all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XFY,family,600,34,0.056666666666666664
all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XFY_trusted,exact,600,194,0.3233333333333333
all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_X,union,600,57,0.095
all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_X,family_v12,600,47,0.07833333333333334
all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_X,family,600,47,0.07833333333333334
all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XF,union,600,186,0.31
all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XF,family_v12,600,154,0.25666666666666665
all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XF,family,600,142,0.23666666666666666
all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_Ym,union,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_Ym,family_v12,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_Ym,family,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XFY,union,600,186,0.31
all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XFY,family_v12,600,144,0.24
all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XFY,family,600,130,0.21666666666666667
all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XFY_trusted,exact,600,270,0.45
all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_X,union,600,240,0.4
all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_X,family_v12,600,206,0.3433333333333333
all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_X,family,600,205,0.3416666666666667
all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XF,union,600,358,0.5966666666666667
all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XF,family_v12,600,309,0.515
all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XF,family,600,290,0.48333333333333334
all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_Ym,union,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_Ym,family_v12,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_Ym,family,600,0,0.0
all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XFY,union,600,358,0.5966666666666667
all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XFY,family_v12,600,298,0.49666666666666665
all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XFY,family,600,272,0.4533333333333333
all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_XFY_trusted,exact,600,361,0.6016666666666667
all_environments,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_X,union,600,495,0.825
all_environments,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_X,family_v12,600,475,0.7916666666666666
all_environments,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_X,family,600,474,0.79
all_environments,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XF,union,600,520,0.8666666666666667
all_environments,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XF,family_v12,600,495,0.825
all_environments,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,I_XF,family,600,481,0.8016666666666666
