mechanism,strength,regime,rule,detection_control,detection_adaptive,detection_ratio_adaptive_over_control,material_control,material_adaptive,material_ratio_adaptive_over_control
mean_shift,0.02,I_X,union,1.0,0.01,0.01,0.3283333333333333,0.29,0.883248730964467
mean_shift,0.02,I_X,family_v12,1.0,0.006666666666666667,0.006666666666666667,0.3283333333333333,0.29,0.883248730964467
mean_shift,0.02,I_X,family,1.0,0.006666666666666667,0.006666666666666667,0.3283333333333333,0.29,0.883248730964467
mean_shift,0.02,I_XF,union,1.0,0.09666666666666666,0.09666666666666666,0.3283333333333333,0.29,0.883248730964467
mean_shift,0.02,I_XF,family_v12,0.9966666666666667,0.06166666666666667,0.061872909698996656,0.3283333333333333,0.29,0.883248730964467
mean_shift,0.02,I_XF,family,0.9733333333333334,0.06,0.06164383561643835,0.3283333333333333,0.29,0.883248730964467
mean_shift,0.02,I_Ym,union,0.0,0.0,,0.3283333333333333,0.29,0.883248730964467
mean_shift,0.02,I_Ym,family_v12,0.0,0.0,,0.3283333333333333,0.29,0.883248730964467
mean_shift,0.02,I_Ym,family,0.0,0.0,,0.3283333333333333,0.29,0.883248730964467
mean_shift,0.02,I_XFY,union,1.0,0.09666666666666666,0.09666666666666666,0.3283333333333333,0.29,0.883248730964467
mean_shift,0.02,I_XFY,family_v12,0.995,0.06,0.06030150753768844,0.3283333333333333,0.29,0.883248730964467
mean_shift,0.02,I_XFY,family,0.9733333333333334,0.056666666666666664,0.05821917808219178,0.3283333333333333,0.29,0.883248730964467
mean_shift,0.05,I_X,union,1.0,0.095,0.095,0.4583333333333333,0.395,0.8618181818181819
mean_shift,0.05,I_X,family_v12,1.0,0.07833333333333334,0.07833333333333334,0.4583333333333333,0.395,0.8618181818181819
mean_shift,0.05,I_X,family,1.0,0.07833333333333334,0.07833333333333334,0.4583333333333333,0.395,0.8618181818181819
mean_shift,0.05,I_XF,union,1.0,0.31,0.31,0.4583333333333333,0.395,0.8618181818181819
mean_shift,0.05,I_XF,family_v12,1.0,0.25666666666666665,0.25666666666666665,0.4583333333333333,0.395,0.8618181818181819
mean_shift,0.05,I_XF,family,1.0,0.23666666666666666,0.23666666666666666,0.4583333333333333,0.395,0.8618181818181819
mean_shift,0.05,I_Ym,union,0.0,0.0,,0.4583333333333333,0.395,0.8618181818181819
mean_shift,0.05,I_Ym,family_v12,0.0,0.0,,0.4583333333333333,0.395,0.8618181818181819
mean_shift,0.05,I_Ym,family,0.0,0.0,,0.4583333333333333,0.395,0.8618181818181819
mean_shift,0.05,I_XFY,union,1.0,0.31,0.31,0.4583333333333333,0.395,0.8618181818181819
mean_shift,0.05,I_XFY,family_v12,1.0,0.24,0.24,0.4583333333333333,0.395,0.8618181818181819
mean_shift,0.05,I_XFY,family,0.9983333333333333,0.21666666666666667,0.21702838063439067,0.4583333333333333,0.395,0.8618181818181819
mean_shift,0.1,I_X,union,1.0,0.4,0.4,0.5916666666666667,0.5366666666666666,0.9070422535211267
mean_shift,0.1,I_X,family_v12,1.0,0.3433333333333333,0.3433333333333333,0.5916666666666667,0.5366666666666666,0.9070422535211267
mean_shift,0.1,I_X,family,1.0,0.3416666666666667,0.3416666666666667,0.5916666666666667,0.5366666666666666,0.9070422535211267
mean_shift,0.1,I_XF,union,1.0,0.5966666666666667,0.5966666666666667,0.5916666666666667,0.5366666666666666,0.9070422535211267
mean_shift,0.1,I_XF,family_v12,1.0,0.515,0.515,0.5916666666666667,0.5366666666666666,0.9070422535211267
mean_shift,0.1,I_XF,family,1.0,0.48333333333333334,0.48333333333333334,0.5916666666666667,0.5366666666666666,0.9070422535211267
mean_shift,0.1,I_Ym,union,0.0,0.0,,0.5916666666666667,0.5366666666666666,0.9070422535211267
mean_shift,0.1,I_Ym,family_v12,0.0,0.0,,0.5916666666666667,0.5366666666666666,0.9070422535211267
mean_shift,0.1,I_Ym,family,0.0,0.0,,0.5916666666666667,0.5366666666666666,0.9070422535211267
mean_shift,0.1,I_XFY,union,1.0,0.5966666666666667,0.5966666666666667,0.5916666666666667,0.5366666666666666,0.9070422535211267
mean_shift,0.1,I_XFY,family_v12,1.0,0.49666666666666665,0.49666666666666665,0.5916666666666667,0.5366666666666666,0.9070422535211267
mean_shift,0.1,I_XFY,family,1.0,0.4533333333333333,0.4533333333333333,0.5916666666666667,0.5366666666666666,0.9070422535211267
scaling_drift,0.02,I_X,union,1.0,0.07,0.07,0.48333333333333334,0.40166666666666667,0.8310344827586207
scaling_drift,0.02,I_X,family_v12,0.995,0.051666666666666666,0.051926298157453935,0.48333333333333334,0.40166666666666667,0.8310344827586207
scaling_drift,0.02,I_X,family,0.995,0.05,0.05025125628140704,0.48333333333333334,0.40166666666666667,0.8310344827586207
scaling_drift,0.02,I_XF,union,1.0,0.27666666666666667,0.27666666666666667,0.48333333333333334,0.40166666666666667,0.8310344827586207
scaling_drift,0.02,I_XF,family_v12,0.9866666666666667,0.23833333333333334,0.24155405405405406,0.48333333333333334,0.40166666666666667,0.8310344827586207
scaling_drift,0.02,I_XF,family,0.9633333333333334,0.225,0.23356401384083045,0.48333333333333334,0.40166666666666667,0.8310344827586207
scaling_drift,0.02,I_Ym,union,0.0,0.0,,0.48333333333333334,0.40166666666666667,0.8310344827586207
scaling_drift,0.02,I_Ym,family_v12,0.0,0.0,,0.48333333333333334,0.40166666666666667,0.8310344827586207
scaling_drift,0.02,I_Ym,family,0.0,0.0,,0.48333333333333334,0.40166666666666667,0.8310344827586207
scaling_drift,0.02,I_XFY,union,1.0,0.27666666666666667,0.27666666666666667,0.48333333333333334,0.40166666666666667,0.8310344827586207
scaling_drift,0.02,I_XFY,family_v12,0.985,0.22666666666666666,0.23011844331641285,0.48333333333333334,0.40166666666666667,0.8310344827586207
scaling_drift,0.02,I_XFY,family,0.9483333333333334,0.22166666666666668,0.23374340949033393,0.48333333333333334,0.40166666666666667,0.8310344827586207
scaling_drift,0.05,I_X,union,1.0,0.38666666666666666,0.38666666666666666,0.575,0.5216666666666666,0.9072463768115941
scaling_drift,0.05,I_X,family_v12,1.0,0.3516666666666667,0.3516666666666667,0.575,0.5216666666666666,0.9072463768115941
scaling_drift,0.05,I_X,family,1.0,0.35,0.35,0.575,0.5216666666666666,0.9072463768115941
scaling_drift,0.05,I_XF,union,1.0,0.5683333333333334,0.5683333333333334,0.575,0.5216666666666666,0.9072463768115941
scaling_drift,0.05,I_XF,family_v12,1.0,0.49666666666666665,0.49666666666666665,0.575,0.5216666666666666,0.9072463768115941
scaling_drift,0.05,I_XF,family,0.995,0.4666666666666667,0.46901172529313234,0.575,0.5216666666666666,0.9072463768115941
scaling_drift,0.05,I_Ym,union,0.0,0.0,,0.575,0.5216666666666666,0.9072463768115941
scaling_drift,0.05,I_Ym,family_v12,0.0,0.0,,0.575,0.5216666666666666,0.9072463768115941
scaling_drift,0.05,I_Ym,family,0.0,0.0,,0.575,0.5216666666666666,0.9072463768115941
scaling_drift,0.05,I_XFY,union,1.0,0.5683333333333334,0.5683333333333334,0.575,0.5216666666666666,0.9072463768115941
scaling_drift,0.05,I_XFY,family_v12,1.0,0.47333333333333333,0.47333333333333333,0.575,0.5216666666666666,0.9072463768115941
scaling_drift,0.05,I_XFY,family,0.99,0.4483333333333333,0.45286195286195285,0.575,0.5216666666666666,0.9072463768115941
scaling_drift,0.1,I_X,union,1.0,0.6116666666666667,0.6116666666666667,0.6433333333333333,0.5833333333333334,0.9067357512953369
scaling_drift,0.1,I_X,family_v12,1.0,0.565,0.565,0.6433333333333333,0.5833333333333334,0.9067357512953369
scaling_drift,0.1,I_X,family,1.0,0.565,0.565,0.6433333333333333,0.5833333333333334,0.9067357512953369
scaling_drift,0.1,I_XF,union,1.0,0.715,0.715,0.6433333333333333,0.5833333333333334,0.9067357512953369
scaling_drift,0.1,I_XF,family_v12,1.0,0.6733333333333333,0.6733333333333333,0.6433333333333333,0.5833333333333334,0.9067357512953369
scaling_drift,0.1,I_XF,family,1.0,0.6616666666666666,0.6616666666666666,0.6433333333333333,0.5833333333333334,0.9067357512953369
scaling_drift,0.1,I_Ym,union,0.0,0.0,,0.6433333333333333,0.5833333333333334,0.9067357512953369
scaling_drift,0.1,I_Ym,family_v12,0.0,0.0,,0.6433333333333333,0.5833333333333334,0.9067357512953369
scaling_drift,0.1,I_Ym,family,0.0,0.0,,0.6433333333333333,0.5833333333333334,0.9067357512953369
scaling_drift,0.1,I_XFY,union,1.0,0.715,0.715,0.6433333333333333,0.5833333333333334,0.9067357512953369
scaling_drift,0.1,I_XFY,family_v12,1.0,0.6616666666666666,0.6616666666666666,0.6433333333333333,0.5833333333333334,0.9067357512953369
scaling_drift,0.1,I_XFY,family,1.0,0.6533333333333333,0.6533333333333333,0.6433333333333333,0.5833333333333334,0.9067357512953369
