attack,attack_class,mechanism,strength,n,prediction_change_rate,mean_prediction_disagreement,material_fraction_tau0,material_fraction_tau002,material_fraction_tau005,mean_signed_delta,mean_abs_delta,raised_fraction,lowered_fraction,mean_perturbed_entry_fraction
cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,600,0.3233333333333333,0.00470703125,0.29,0.028333333333333332,0.0033333333333333335,0.0005143229166666666,0.00349609375,0.14,0.15,0.3254892578125
cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,600,0.45,0.010130208333333333,0.395,0.09833333333333333,0.013333333333333334,0.00026041666666666666,0.006197916666666667,0.195,0.2,0.3254892578125
cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,600,0.6016666666666667,0.0253515625,0.5366666666666666,0.21833333333333332,0.05333333333333334,0.0018098958333333333,0.013723958333333333,0.22,0.31666666666666665,0.3254892578125
cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,600,0.7366666666666667,0.06211588541666667,0.685,0.4216666666666667,0.21666666666666667,0.01423828125,0.03287109375,0.24666666666666667,0.43833333333333335,0.3254892578125
cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,600,0.79,0.10104166666666667,0.7566666666666667,0.5233333333333333,0.34833333333333333,0.03361979166666667,0.053098958333333335,0.18333333333333332,0.5733333333333334,0.3254892578125
cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,600,0.4666666666666667,0.014446614583333333,0.40166666666666667,0.10833333333333334,0.016666666666666666,0.00173828125,0.00763671875,0.14666666666666667,0.255,0.3254892578125
cluster_preserving_scaling_alpha_0.050,adaptive,scaling_drift,0.05,600,0.57,0.03856770833333333,0.5216666666666666,0.27166666666666667,0.11,0.005611979166666667,0.019375,0.16166666666666665,0.36,0.3254892578125
cluster_preserving_scaling_alpha_0.100,adaptive,scaling_drift,0.1,600,0.64,0.06224609375,0.5833333333333334,0.35833333333333334,0.20666666666666667,0.009095052083333333,0.029967447916666667,0.185,0.3983333333333333,0.3254892578125
cluster_preserving_scaling_alpha_0.250,adaptive,scaling_drift,0.25,600,0.7733333333333333,0.09712239583333333,0.7183333333333334,0.47,0.32666666666666666,0.025013020833333333,0.047591145833333334,0.18833333333333332,0.53,0.3254892578125
cluster_preserving_scaling_alpha_0.500,adaptive,scaling_drift,0.5,600,0.8716666666666667,0.11865234375,0.8083333333333333,0.5333333333333333,0.3516666666666667,0.03839192708333333,0.06013671875,0.18,0.6283333333333333,0.3254892578125
mean_shift_pf_delta_0.020,control,mean_shift,0.02,600,0.3566666666666667,0.0148046875,0.3283333333333333,0.09833333333333333,0.058333333333333334,0.0050651041666666665,0.010572916666666666,0.13166666666666665,0.19666666666666666,
mean_shift_pf_delta_0.050,control,mean_shift,0.05,600,0.5,0.0454296875,0.4583333333333333,0.19666666666666666,0.11333333333333333,0.0159765625,0.02578125,0.195,0.2633333333333333,
mean_shift_pf_delta_0.100,control,mean_shift,0.1,600,0.6183333333333333,0.096796875,0.5916666666666667,0.35333333333333333,0.245,0.033515625,0.0537109375,0.19833333333333333,0.3933333333333333,
scaling_drift_alpha_0.020,control,scaling_drift,0.02,600,0.5366666666666666,0.060670572916666665,0.48333333333333334,0.225,0.13833333333333334,0.01776692708333333,0.03219401041666667,0.17166666666666666,0.31166666666666665,
scaling_drift_alpha_0.050,control,scaling_drift,0.05,600,0.6083333333333333,0.14276692708333333,0.575,0.4166666666666667,0.30333333333333334,0.04307942708333334,0.06345703125,0.175,0.4,
scaling_drift_alpha_0.100,control,scaling_drift,0.1,600,0.6683333333333333,0.20663411458333333,0.6433333333333333,0.5016666666666667,0.41333333333333333,0.07788411458333333,0.09585286458333334,0.19166666666666668,0.45166666666666666,
