regime,policy,policy_class,tau,attack,attack_class,mechanism,strength,n,n_material,unsafe_allow,true_hold,true_block,immaterial_allow,integrity_only_hold_block,containment,unsafe_allow_rate
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,600,174,173,1,0,421,5,0.005747126436781609,0.9942528735632183
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,600,17,17,0,0,577,6,0.0,1.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,600,2,2,0,0,592,6,0.0,1.0
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,600,237,211,26,0,332,31,0.10970464135021098,0.890295358649789
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,600,59,50,9,0,493,48,0.15254237288135594,0.847457627118644
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,600,8,6,2,0,537,55,0.25,0.75
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,600,322,182,140,0,178,100,0.43478260869565216,0.5652173913043478
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,600,131,75,56,0,285,184,0.42748091603053434,0.5725190839694656
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,600,32,12,20,0,348,220,0.625,0.375
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,600,411,53,358,0,52,137,0.8710462287104623,0.12895377128953772
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,600,253,22,231,0,83,264,0.9130434782608695,0.08695652173913043
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,cluster_preserving_mean_shift_delta_0.250,adaptive,mean_shift,0.25,600,130,2,128,0,103,367,0.9846153846153847,0.015384615384615385
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,600,454,30,424,0,27,119,0.933920704845815,0.06607929515418502
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.02,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,600,314,14,300,0,43,243,0.9554140127388535,0.044585987261146494
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.05,cluster_preserving_mean_shift_delta_0.500,adaptive,mean_shift,0.5,600,209,7,202,0,50,341,0.9665071770334929,0.03349282296650718
I_X,union_uncalibrated,"uncalibrated, risk-tolerant (1.1.0 union of per-sensor rules)",0.0,cluster_preserving_scaling_alpha_0.020,adaptive,scaling_drift,0.02,600,241,204,37,0,354,5,0.15352697095435686,0.8464730290456431
