gate,protocol,dataset_tag,svd_dim,split_seed,model_seed,model,attack,attack_family,attack_priority_group,attack_class,mechanism,strength,impact_bal_acc,bal_acc,bal_acc_clean,delta_bal_acc,integrity_jsd_vs_clean_eval,integrity_mmd_vs_clean_eval,integrity_ks_reject05_vs_clean_eval,integrity_score_jsd_vs_clean_eval,integrity_pred_pos_rate_shift,integrity_pred_jsd,integrity_label_prior_shift,integrity_label_jsd,integrity_confusion_profile_l1,integrity_confusion_profile_jsd,integrity_pred_disagreement,integrity_confusion_profile_l1_delta,integrity_confusion_profile_jsd_delta,label_flip_rate,atk_family,atk_strength,atk_alpha,atk_strength_nominal,atk_strength_eff,atk_delta,atk_per_feature,atk_dvec_mean,atk_dvec_std,atk_priority_group,atk_mechanism,atk_window_sd,atk_min_mass,atk_frozen_entry_fraction,atk_perturbed_entry_fraction,atk_fully_frozen_row_fraction,atk_max_feature_frozen_fraction,atk_min_feature_frozen_fraction,atk_mean_abs_delta,atk_mean_abs_delta_moved,atk_max_abs_delta,atk_n_samples,atk_n_features
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.020,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.02,0.00390625,0.74609375,0.75,0.00390625,0.0073803093301964,0.0,0.0,0.0325410759382821,0.00390625,8.525620894431468e-06,0.0,0.0,0.0078125,4.666389468980874e-05,0.00390625,0.0078125,4.666389468980874e-05,,adaptive_covariate_shift,0.02,,0.02,0.00601606382966,,,,,adaptive,mean_shift,0.01,0.05,0.59375,0.40625,0.3359375,0.80859375,0.51171875,0.00601606382966,0.0148087725037786,0.029389113086879,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.050,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.05,0.0078125,0.7421875,0.75,0.0078125,0.0254077916990885,0.0,0.0,0.0534476623369613,0.0,0.0,0.0,0.0,0.015625,6.234493983384723e-05,0.0078125,0.015625,6.234493983384723e-05,,adaptive_covariate_shift,0.05,,0.05,0.013539466500575,,,,,adaptive,mean_shift,0.01,0.05,0.59375,0.40625,0.3359375,0.80859375,0.51171875,0.013539466500575,0.0333279175398771,0.1071078924839907,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.100,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.1,0.0,0.7578125,0.75,-0.0078125,0.0414285629086694,0.0,0.0,0.1641749110268681,0.0078125,3.4007227108287e-05,0.0,0.0,0.015625,6.326216634614792e-05,0.015625,0.015625,6.326216634614792e-05,,adaptive_covariate_shift,0.1,,0.1,0.0268539070278826,,,,,adaptive,mean_shift,0.01,0.05,0.59375,0.40625,0.3359375,0.80859375,0.51171875,0.0268539070278826,0.0661019249917111,0.1897968429909418,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.250,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.25,0.08203125,0.66796875,0.75,0.08203125,0.1009677099636119,0.0226344439032585,0.625,0.1845305211519158,0.04296875,0.0010053228888588,0.0,0.0,0.1640625,0.0083248459692429,0.10546875,0.1640625,0.0083248459692429,,adaptive_covariate_shift,0.25,,0.25,0.0965995931080556,,,,,adaptive,mean_shift,0.01,0.05,0.59375,0.40625,0.3359375,0.80859375,0.51171875,0.0965995931080556,0.2377836138044447,0.6270002813479714,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,cluster_preserving_mean_shift_delta_0.500,adaptive_covariate_shift,adaptive,adaptive,mean_shift,0.5,0.09375,0.65625,0.75,0.09375,0.1092373906423841,0.0921380840413499,0.75,0.2103869551613623,0.09375,0.0046588916542489,0.0,0.0,0.1875,0.0155385271907832,0.09375,0.1875,0.0155385271907832,,adaptive_covariate_shift,0.5,,0.5,0.1779674495187155,,,,,adaptive,mean_shift,0.01,0.05,0.59375,0.40625,0.3359375,0.80859375,0.51171875,0.1779674495187155,0.4380737218922228,1.4089871762157875,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.020,adaptive_covariate_shift,adaptive,adaptive,scaling_drift,0.02,0.00390625,0.74609375,0.75,0.00390625,0.0334036146825775,0.0,0.125,0.1336794549012609,0.00390625,8.525620894431468e-06,0.0,0.0,0.0078125,4.666389468980874e-05,0.00390625,0.0078125,4.666389468980874e-05,,adaptive_covariate_shift,0.02,,0.02,0.0195007586610044,,,,,adaptive,scaling_drift,0.01,0.05,0.59375,0.40625,0.3359375,0.80859375,0.51171875,0.0195007586610044,0.0480018674732418,0.1293767566619967,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.050,adaptive_covariate_shift,adaptive,adaptive,scaling_drift,0.05,0.00390625,0.74609375,0.75,0.00390625,0.0688128238493329,0.0,0.25,0.1795510893167144,0.01953125,0.0002108314115279,0.0,0.0,0.0390625,0.0004537222734014,0.02734375,0.0390625,0.0004537222734014,,adaptive_covariate_shift,0.05,,0.05,0.0487518966525112,,,,,adaptive,scaling_drift,0.01,0.05,0.59375,0.40625,0.3359375,0.80859375,0.51171875,0.0487518966525112,0.1200046686831045,0.3234418916549915,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.100,adaptive_covariate_shift,adaptive,adaptive,scaling_drift,0.1,0.08203125,0.66796875,0.75,0.08203125,0.0958261253256566,0.0167838068070912,0.625,0.2000887456817442,0.10546875,0.0058658302840965,0.0,0.0,0.2109375,0.0156813184980724,0.12890625,0.2109375,0.0156813184980724,,adaptive_covariate_shift,0.1,,0.1,0.0975037933050224,,,,,adaptive,scaling_drift,0.01,0.05,0.59375,0.40625,0.3359375,0.80859375,0.51171875,0.0975037933050224,0.240009337366209,0.6468837833099821,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.250,adaptive_covariate_shift,adaptive,adaptive,scaling_drift,0.25,0.1015625,0.6484375,0.75,0.1015625,0.1142085537310866,0.1118140272494708,0.875,0.2173477640635262,0.1171875,0.0072067821544651,0.0,0.0,0.234375,0.0200257165777156,0.125,0.234375,0.0200257165777156,,adaptive_covariate_shift,0.25,,0.25,0.2437594832625558,,,,,adaptive,scaling_drift,0.01,0.05,0.59375,0.40625,0.3359375,0.80859375,0.51171875,0.2437594832625558,0.6000233434155221,1.6172094582749548,256.0,8.0
gate2_id_256,id,id8c8771f4,8,42,42,qsvc_zz_r1,cluster_preserving_scaling_alpha_0.500,adaptive_covariate_shift,adaptive,adaptive,scaling_drift,0.5,0.11328125,0.63671875,0.75,0.11328125,0.13943553059952,0.2149746916705468,0.875,0.2217925462635258,0.13671875,0.0097379438637497,0.0,0.0,0.2734375,0.0249057307261396,0.13671875,0.2734375,0.0249057307261396,,adaptive_covariate_shift,0.5,,0.5,0.4875189665251117,,,,,adaptive,scaling_drift,0.01,0.05,0.59375,0.40625,0.3359375,0.80859375,0.51171875,0.4875189665251117,1.2000466868310442,3.234418916549908,256.0,8.0
