protocol,dataset_tag,svd_dim,metric,analysis_unit,mean,std,ci95_low,ci95_high,n,positive_split_clusters,all_positive,gate,max_train,max_test
id,id6292a46b,8,impact_mean,split_seed_cluster_primary,0.021966612654344058,0.008741852943257399,0.011112168577109713,0.0328210567315784,5,5,True,gate5a_id_unsw,128,128
id,id6292a46b,8,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.010738504451777446,0.005417698512997517,0.004011543255066349,0.017465465648488544,5,5,True,gate5a_id_unsw,128,128
id,id6292a46b,10,impact_mean,split_seed_cluster_primary,0.04061882541828497,0.0074551637181906666,0.03136201702869269,0.049875633807877254,5,5,True,gate5a_id_unsw,128,128
id,id6292a46b,10,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.022253770265350976,0.004816290767901623,0.016273555413966356,0.028233985116735597,5,5,True,gate5a_id_unsw,128,128
id,id6292a46b,12,impact_mean,split_seed_cluster_primary,0.04840164984129959,0.009054388897490795,0.037159141121549374,0.059644158561049807,5,5,True,gate5a_id_unsw,128,128
id,id6292a46b,12,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.025056665198417906,0.005281054533374163,0.018499369911776416,0.03161396048505939,5,5,True,gate5a_id_unsw,128,128
id,id8c8771f4,8,impact_mean,split_seed_cluster_primary,0.031429687425352806,0.00880063280558767,0.020502258509243587,0.042357116341462026,5,5,True,gate2_id_256,256,256
id,id8c8771f4,8,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.01194821196985027,0.0034149485852965344,0.007707993255770679,0.01618843068392986,5,5,True,gate2_id_256,256,256
id,id8c8771f4,10,impact_mean,split_seed_cluster_primary,0.05214467438845512,0.01345791542900078,0.035434465309393856,0.06885488346751638,5,5,True,gate2_id_256,256,256
id,id8c8771f4,10,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.021691110255735568,0.004715535415545239,0.015835999697998208,0.027546220813472928,5,5,True,gate2_id_256,256,256
id,id8c8771f4,12,impact_mean,split_seed_cluster_primary,0.04510434220337393,0.0067399483500954205,0.03673559098730757,0.05347309341944029,5,5,True,gate2_id_256,256,256
id,id8c8771f4,12,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.016622991694372483,0.0016168646940947324,0.014615389013748308,0.01863059437499666,5,5,True,gate2_id_256,256,256
id,idcc6a61e9,8,impact_mean,split_seed_cluster_primary,0.09381979578588337,0.01322754325859249,0.07739563153700614,0.1102439600347606,5,5,True,gate5b_id_ton_iot,128,128
id,idcc6a61e9,8,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.05500784823917203,0.011066752079343586,0.041266660605204425,0.06874903587313963,5,5,True,gate5b_id_ton_iot,128,128
id,idcc6a61e9,10,impact_mean,split_seed_cluster_primary,0.09508042452349152,0.01576571833337761,0.07550469966311546,0.11465614938386759,5,5,True,gate5b_id_ton_iot,128,128
id,idcc6a61e9,10,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.051378878581275024,0.00650438992122173,0.04330261178581457,0.05945514537673548,5,5,True,gate5b_id_ton_iot,128,128
id,idcc6a61e9,12,impact_mean,split_seed_cluster_primary,0.1158501747752948,0.01947896905417116,0.0916638401786052,0.1400365093719844,5,5,True,gate5b_id_ton_iot,128,128
id,idcc6a61e9,12,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.061910261714814466,0.009936442900500683,0.049572538295055354,0.07424798513457358,5,5,True,gate5b_id_ton_iot,128,128
ood,tr649b5ffb__te0e535a99,8,impact_mean,split_seed_cluster_primary,0.03789701679207916,0.03368408569981774,-0.003927299733794853,0.07972133331795317,5,4,False,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,8,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.017639796124815123,0.014199299449567328,9.037198572810906e-06,0.03527055505105743,5,4,False,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,10,impact_mean,split_seed_cluster_primary,0.07958947599133365,0.025467627010822644,0.047967240412313365,0.11121171157035392,5,5,True,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,10,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.03480678548879653,0.010232609457314589,0.022101322717969624,0.04751224825962344,5,5,True,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,12,impact_mean,split_seed_cluster_primary,0.10716479698930478,0.024501669988338085,0.07674195546891568,0.13758763850969388,5,5,True,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__te0e535a99,12,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.045420491287830086,0.011219348605024982,0.03148983004167292,0.059351152533987254,5,5,True,gate3b_ood_tue_fri_portscan,128,128
ood,tr649b5ffb__tec82af0ba,8,impact_mean,split_seed_cluster_primary,-8.696157690368175e-05,0.0013704151312289997,-0.001788556707944421,0.0016146335541370575,5,2,False,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,8,stealth_full_sharednorm_mean,split_seed_cluster_primary,-0.00011770880400805281,0.0010641636983563952,-0.0014390425564525615,0.0012036249484364558,5,2,False,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,10,impact_mean,split_seed_cluster_primary,0.0010737755125274427,0.003391505932011314,-0.003137335302945517,0.005284886328000402,5,4,False,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,10,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.0008440699966270594,0.0026390686154617845,-0.002432766491981298,0.004120906485235417,5,4,False,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,12,impact_mean,split_seed_cluster_primary,0.008347779284180257,0.015398474775751078,-0.010771952472118674,0.02746751104047919,5,3,False,gate3a_ood_tue_wed,128,128
ood,tr649b5ffb__tec82af0ba,12,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.005258596284409429,0.009764104337944333,-0.006865140546721273,0.017382333115540133,5,3,False,gate3a_ood_tue_wed,128,128
ood,tr993984ca__teb9107599,8,impact_mean,split_seed_cluster_primary,0.022575125052771372,0.006266546982133944,0.014794179272003192,0.030356070833539552,5,5,True,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,8,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.010535355470077334,0.003140363179182923,0.006636079569201175,0.014434631370953493,5,5,True,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,10,impact_mean,split_seed_cluster_primary,0.03790533903359119,0.009563665198366501,0.026030480265905223,0.049780197801277154,5,5,True,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,10,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.017723447823846075,0.004832238786818556,0.011723430891529628,0.02372346475616252,5,5,True,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,12,impact_mean,split_seed_cluster_primary,0.04826640960135896,0.006654949584711162,0.04000319829216201,0.05652962091055591,5,5,True,gate6_ood_unsw,128,128
ood,tr993984ca__teb9107599,12,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.02104603126846364,0.003865839439567428,0.01624595761351654,0.02584610492341074,5,5,True,gate6_ood_unsw,128,128
ood,trc82af0ba__te3ec6a4d7,8,impact_mean,split_seed_cluster_primary,0.004834268176792466,0.005130772804830609,-0.001536427697928661,0.011204964051513593,5,4,False,gate3c_ood_wed_thu_webattacks,128,128
ood,trc82af0ba__te3ec6a4d7,8,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.003065779617048425,0.003521871438962154,-0.0013072013550129752,0.007438760589109826,5,4,False,gate3c_ood_wed_thu_webattacks,128,128
ood,trc82af0ba__te3ec6a4d7,10,impact_mean,split_seed_cluster_primary,0.009390393171869803,0.007237573996476237,0.00040375810610950545,0.0183770282376301,5,4,False,gate3c_ood_wed_thu_webattacks,128,128
ood,trc82af0ba__te3ec6a4d7,10,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.0052745395023881024,0.0039317837161570585,0.0003925852133120659,0.01015649379146414,5,4,False,gate3c_ood_wed_thu_webattacks,128,128
ood,trc82af0ba__te3ec6a4d7,12,impact_mean,split_seed_cluster_primary,0.018258437112957313,0.015231282759464618,-0.000653698335931624,0.03717057256184625,5,5,True,gate3c_ood_wed_thu_webattacks,128,128
ood,trc82af0ba__te3ec6a4d7,12,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.010116057290736342,0.009298556040472297,-0.0014296249799982726,0.02166173956147096,5,5,True,gate3c_ood_wed_thu_webattacks,128,128
ood,trc82af0ba__te5c44b321,8,impact_mean,split_seed_cluster_primary,0.0030143272866203843,0.00297515970942847,-0.0006798214134833263,0.006708475986724095,5,4,False,gate3d_ood_wed_fri_morning,128,128
ood,trc82af0ba__te5c44b321,8,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.002185407004762676,0.002596126616098726,-0.001038109949225683,0.005408923958751035,5,4,False,gate3d_ood_wed_fri_morning,128,128
ood,trc82af0ba__te5c44b321,10,impact_mean,split_seed_cluster_primary,0.004066557875278199,0.0028121412939817805,0.0005748232726788681,0.00755829247787753,5,5,True,gate3d_ood_wed_fri_morning,128,128
ood,trc82af0ba__te5c44b321,10,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.0023736562620095456,0.0015610146981849032,0.00043540051060643285,0.004311912013412658,5,5,True,gate3d_ood_wed_fri_morning,128,128
ood,trc82af0ba__te5c44b321,12,impact_mean,split_seed_cluster_primary,0.00402536929469604,0.0054670417160027525,-0.002762859580742718,0.0108135981701348,5,5,True,gate3d_ood_wed_fri_morning,128,128
ood,trc82af0ba__te5c44b321,12,stealth_full_sharednorm_mean,split_seed_cluster_primary,0.0017793155645451065,0.0022023225831830215,-0.0009552290994243712,0.004513860228514584,5,5,True,gate3d_ood_wed_fri_morning,128,128
