protocol,dataset_tag,model,svd_dim,attack_family,attack,impact_mean,prediction_change_mean,feature_detectability_mean,feature_prediction_detectability_mean,label_marginal_detectability_mean,joint_outcome_detectability_mean,full_detectability_mean,n_split_clusters,n_model_seeds,raw_integrity_jsd_vs_clean_eval_max,raw_integrity_mmd_vs_clean_eval_max,raw_integrity_ks_reject05_vs_clean_eval_max,raw_integrity_score_jsd_vs_clean_eval_max,raw_integrity_label_prior_shift_max,raw_integrity_label_jsd_max,feature_prediction_structurally_blind,label_marginal_structurally_blind,impact_locus,gate,max_train,max_test
id,idcc6a61e9,qsvc_zz_r1,12,target_shift,label_flip_prior_preserving_r_0.100,0.0703125,0.0,0.0,0.0,0.0,0.037020940816509654,0.01682770037114075,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_zz_r1,10,target_shift,label_flip_prior_preserving_r_0.100,0.06875,0.0,0.0,0.0,0.0,0.036533681986216225,0.01660621908464374,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_zz_r1,10,target_shift,label_flip_r_0.100,0.0683541526115387,0.0,0.0,0.0,0.8306353631849717,0.037129595564204955,0.1679017003809971,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_zz_r1,12,target_shift,label_flip_r_0.100,0.06673640313562984,0.0,0.0,0.0,0.8306353631849717,0.035931582966152634,0.16735714920006423,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,idcc6a61e9,qsvc_zz_r1,8,target_shift,label_flip_prior_preserving_r_0.100,0.0640625,0.0,0.0,0.0,0.0,0.03285150744639219,0.014932503384723721,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,id8c8771f4,svc_rbf,12,target_shift,label_flip_prior_preserving_r_0.100,0.0625,0.0,0.0,0.0,0.0,0.02585140688312098,0.011750639492327717,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate2_id_256,256,256
id,id8c8771f4,qsvc_zz_r1,12,target_shift,label_flip_prior_preserving_r_0.100,0.06015625,0.0,0.0,0.0,0.0,0.022154786132231843,0.010070357332832656,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate2_id_256,256,256
id,idcc6a61e9,qsvc_zz_r1,8,target_shift,label_flip_r_0.100,0.058897326823724415,0.0,0.0,0.0,0.8306353631849717,0.02848848730415663,0.16397392389915694,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5b_id_ton_iot,128,128
id,id8c8771f4,svc_rbf,12,target_shift,label_flip_r_0.100,0.05855000117189478,0.0,0.0,0.0,0.7708957440241865,0.025101752988163594,0.15157275027174463,5,2,0.0,0.0,0.0,0.0,0.04296875,0.0009251517779158,True,False,evaluation_or_label_path,gate2_id_256,256,256
id,id6292a46b,qsvc_z_r1,8,target_shift,label_flip_r_0.100,0.057715291069650676,0.0,0.0,0.0,0.8306353631849717,0.07248635773706891,0.18397295591411708,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,12,target_shift,label_flip_r_0.100,0.05686986442320006,0.0,0.0,0.0,0.8306353631849717,0.04270539913165703,0.17043615654802077,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,10,target_shift,label_flip_r_0.100,0.056815764303097246,0.0,0.0,0.0,0.8306353631849717,0.04552932811090531,0.1717197606294973,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id6292a46b,qsvc_zz_r1,8,target_shift,label_flip_r_0.100,0.05631197008787294,0.0,0.0,0.0,0.8306353631849717,0.0801153033025251,0.1874406584438699,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
id,id8c8771f4,qsvc_zz_r1,10,target_shift,label_flip_prior_preserving_r_0.100,0.05625,0.0,0.0,0.0,0.0,0.020899302254200912,0.009499682842818597,5,2,0.0,0.0,0.0,0.0,0.0,0.0,True,True,evaluation_or_label_path,gate2_id_256,256,256
id,id6292a46b,qsvc_z_r1,10,target_shift,label_flip_r_0.100,0.05570920289391117,0.0,0.0,0.0,0.8306353631849717,0.04358227000363395,0.1708347342171012,5,2,0.0,0.0,0.0,0.0,0.03125,0.0004888385244522,True,False,evaluation_or_label_path,gate5a_id_unsw,128,128
