protocol,dataset_tag,model,svd_dim,metric,mean,std,ci95_low,ci95_high,n
id,id8c8771f4,qsvc_pauli_xyz_r1,8,impact_mean,0.02812233683384328,0.0028305239784901987,0.02460777711369951,0.031636896553987055,5
id,id8c8771f4,qsvc_pauli_xyz_r1,8,detectability_standard_sharednorm_mean,0.21696988539901746,0.005709113160902479,0.20988108512545353,0.2240586856725814,5
id,id8c8771f4,qsvc_pauli_xyz_r1,8,detectability_full_sharednorm_mean,0.1231483322769249,0.004953010351459353,0.11699835764078724,0.12929830691306257,5
id,id8c8771f4,qsvc_pauli_xyz_r1,8,stealth_standard_sharednorm_mean,0.018768847804699326,0.0015436049580753086,0.016852209100808382,0.02068548650859027,5
id,id8c8771f4,qsvc_pauli_xyz_r1,8,stealth_full_sharednorm_mean,0.020769845767545658,0.001503694282111416,0.018902762713143055,0.02263692882194826,5
id,id8c8771f4,qsvc_pauli_xyz_r1,10,impact_mean,0.02801980895349998,0.0015752242876657667,0.026063909666409226,0.029975708240590735,5
id,id8c8771f4,qsvc_pauli_xyz_r1,10,detectability_standard_sharednorm_mean,0.2238087524175878,0.004296367489271113,0.21847410758310676,0.22914339725206884,5
id,id8c8771f4,qsvc_pauli_xyz_r1,10,detectability_full_sharednorm_mean,0.12598993746427842,0.0011366434808670564,0.12457860817529279,0.12740126675326405,5
id,id8c8771f4,qsvc_pauli_xyz_r1,10,stealth_standard_sharednorm_mean,0.018912691955979905,0.0014613764205978175,0.01709815346669971,0.0207272304452601,5
id,id8c8771f4,qsvc_pauli_xyz_r1,10,stealth_full_sharednorm_mean,0.02054454214767758,0.0015078690948034884,0.018672275378655987,0.022416808916699175,5
id,id8c8771f4,qsvc_pauli_xyz_r1,12,impact_mean,0.03569712774352111,0.006379292928583079,0.02777618938010363,0.04361806610693859,5
id,id8c8771f4,qsvc_pauli_xyz_r1,12,detectability_standard_sharednorm_mean,0.22697801747688723,0.005577755919811996,0.22005231876048875,0.2339037161932857,5
id,id8c8771f4,qsvc_pauli_xyz_r1,12,detectability_full_sharednorm_mean,0.1400838642233176,0.005029309664665849,0.13383915147688374,0.14632857696975143,5
id,id8c8771f4,qsvc_pauli_xyz_r1,12,stealth_standard_sharednorm_mean,0.02195682654192268,0.0022646076068374168,0.01914494480645427,0.02476870827739109,5
id,id8c8771f4,qsvc_pauli_xyz_r1,12,stealth_full_sharednorm_mean,0.023410775938588542,0.0027666992478089813,0.01997546508872669,0.026846086788450393,5
id,id8c8771f4,qsvc_z_r1,8,impact_mean,0.02134239465903829,0.0033656731354151444,0.017163359497071713,0.025521429821004867,5
id,id8c8771f4,qsvc_z_r1,8,detectability_standard_sharednorm_mean,0.21290735689111795,0.006297139231116909,0.20508842581616354,0.22072628796607235,5
id,id8c8771f4,qsvc_z_r1,8,detectability_full_sharednorm_mean,0.11892498649400071,0.007033996292748001,0.11019112653379676,0.12765884645420467,5
id,id8c8771f4,qsvc_z_r1,8,stealth_standard_sharednorm_mean,0.01529864592091853,0.0014247764711813704,0.013529552271164817,0.017067739570672244,5
id,id8c8771f4,qsvc_z_r1,8,stealth_full_sharednorm_mean,0.01616318663620332,0.0013597559024198136,0.014474826685823563,0.017851546586583077,5
id,id8c8771f4,qsvc_z_r1,10,impact_mean,0.02614945723218709,0.0034053817434057197,0.02192111732125983,0.03037779714311435,5
id,id8c8771f4,qsvc_z_r1,10,detectability_standard_sharednorm_mean,0.21844104199669548,0.004818798763856784,0.2124577130570257,0.22442437093636525,5
id,id8c8771f4,qsvc_z_r1,10,detectability_full_sharednorm_mean,0.12577558909246928,0.005553407524037723,0.11888012290251772,0.13267105528242085,5
id,id8c8771f4,qsvc_z_r1,10,stealth_standard_sharednorm_mean,0.01731431235854872,0.0007991608720556033,0.016322023074944153,0.018306601642153288,5
id,id8c8771f4,qsvc_z_r1,10,stealth_full_sharednorm_mean,0.018569762855866832,0.0010019263062961076,0.017325707032485677,0.019813818679247988,5
id,id8c8771f4,qsvc_z_r1,12,impact_mean,0.029485489080593376,0.003410248699169757,0.02525110604591306,0.03371987211527369,5
id,id8c8771f4,qsvc_z_r1,12,detectability_standard_sharednorm_mean,0.22325872783370987,0.006948568448466173,0.2146309405521948,0.23188651511522493,5
id,id8c8771f4,qsvc_z_r1,12,detectability_full_sharednorm_mean,0.12713585152996165,0.007731648045217363,0.11753574250543272,0.13673596055449058,5
id,id8c8771f4,qsvc_z_r1,12,stealth_standard_sharednorm_mean,0.019762773830633996,0.0005207774854477841,0.019116143175878397,0.020409404485389596,5
id,id8c8771f4,qsvc_z_r1,12,stealth_full_sharednorm_mean,0.021233738502693313,0.0007916920261856878,0.02025072301611355,0.022216753989273075,5
id,id8c8771f4,qsvc_zz_r1,8,impact_mean,0.040189662212409036,0.010583577860238617,0.027048414611164293,0.05333090981365378,5
id,id8c8771f4,qsvc_zz_r1,8,detectability_standard_sharednorm_mean,0.2252777038361644,0.006364849427005068,0.21737469944866433,0.2331807082236645,5
id,id8c8771f4,qsvc_zz_r1,8,detectability_full_sharednorm_mean,0.1597458714876375,0.011245957572655294,0.1457821708443444,0.1737095721309306,5
id,id8c8771f4,qsvc_zz_r1,8,stealth_standard_sharednorm_mean,0.023015032232994944,0.004292418105393792,0.017685291206289453,0.028344773259700435,5
id,id8c8771f4,qsvc_zz_r1,8,stealth_full_sharednorm_mean,0.02433487722750094,0.004869622693666064,0.01828844204393974,0.03038131241106214,5
id,id8c8771f4,qsvc_zz_r1,10,impact_mean,0.04859543428848775,0.010897259642076492,0.03506469931184251,0.06212616926513299,5
id,id8c8771f4,qsvc_zz_r1,10,detectability_standard_sharednorm_mean,0.23139136150608963,0.005212417022987292,0.22491929094502186,0.2378634320671574,5
id,id8c8771f4,qsvc_zz_r1,10,detectability_full_sharednorm_mean,0.17407632867584782,0.01477672314822635,0.15572860353127094,0.1924240538204247,5
id,id8c8771f4,qsvc_zz_r1,10,stealth_standard_sharednorm_mean,0.027173684627410266,0.0038897648780557093,0.022343903616851027,0.032003465637969505,5
id,id8c8771f4,qsvc_zz_r1,10,stealth_full_sharednorm_mean,0.02844009986292286,0.004138076979323065,0.02330199865590162,0.0335782010699441,5
id,id8c8771f4,qsvc_zz_r1,12,impact_mean,0.05514284646434229,0.008757598666087555,0.04426885148994404,0.06601684143874054,5
id,id8c8771f4,qsvc_zz_r1,12,detectability_standard_sharednorm_mean,0.23018765556414356,0.006729602040098298,0.22183175098871488,0.23854356013957223,5
id,id8c8771f4,qsvc_zz_r1,12,detectability_full_sharednorm_mean,0.17451809542647612,0.008513952358758802,0.16394662730018328,0.18508956355276895,5
id,id8c8771f4,qsvc_zz_r1,12,stealth_standard_sharednorm_mean,0.02991177150334911,0.0036326345210791894,0.0254012599998929,0.03442228300680532,5
id,id8c8771f4,qsvc_zz_r1,12,stealth_full_sharednorm_mean,0.03146469767500077,0.004026665814897268,0.026464931699845,0.03646446365015654,5
id,id8c8771f4,svc_rbf,8,impact_mean,0.015922291771410985,0.0009799263147409758,0.014705552545504623,0.017139030997317346,5
id,id8c8771f4,svc_rbf,8,detectability_standard_sharednorm_mean,0.13561169512106833,0.004707849408787828,0.1297661280012116,0.14145726224092506,5
id,id8c8771f4,svc_rbf,8,detectability_full_sharednorm_mean,0.07435144090000806,0.005500963832472574,0.06752109215380585,0.08118178964621027,5
id,id8c8771f4,svc_rbf,8,stealth_standard_sharednorm_mean,0.015610614655136032,0.0009176927132126662,0.01447114865172593,0.016750080658546135,5
