scope_type,scope,attack,attack_class,mechanism,strength,regime,rule,n,n_fire,response_rate,clean_n_fire,paired_clean_false_action_rate,attack_only,clean_only,both_fire,neither_fire,n_material_tau0,material_fraction_tau0,material_fraction_tau002,material_fraction_tau005,mean_signed_delta_bal_acc,prediction_change_rate
pooled,all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_X,union,600,176,0.29333333333333333,98,0.16333333333333333,80,2,96,422,157,0.26166666666666666,0.03833333333333333,0.005,0.001024105935028098,0.2733333333333333
pooled,all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_X,family,600,111,0.185,37,0.06166666666666667,74,0,37,489,157,0.26166666666666666,0.03833333333333333,0.005,0.001024105935028098,0.2733333333333333
pooled,all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XF,union,600,330,0.55,149,0.24833333333333332,188,7,142,263,157,0.26166666666666666,0.03833333333333333,0.005,0.001024105935028098,0.2733333333333333
pooled,all_environments,cluster_preserving_mean_shift_delta_0.020,adaptive,mean_shift,0.02,I_XF,family,600,179,0.29833333333333334,43,0.07166666666666667,141,5,38,416,157,0.26166666666666666,0.03833333333333333,0.005,0.001024105935028098,0.2733333333333333
pooled,all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_X,union,600,295,0.49166666666666664,98,0.16333333333333333,204,7,91,298,269,0.4483333333333333,0.09,0.015,0.0004862836958236542,0.4716666666666667
pooled,all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_X,family,600,235,0.39166666666666666,37,0.06166666666666667,198,0,37,365,269,0.4483333333333333,0.09,0.015,0.0004862836958236542,0.4716666666666667
pooled,all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XF,union,600,432,0.72,149,0.24833333333333332,295,12,137,156,269,0.4483333333333333,0.09,0.015,0.0004862836958236542,0.4716666666666667
pooled,all_environments,cluster_preserving_mean_shift_delta_0.050,adaptive,mean_shift,0.05,I_XF,family,600,321,0.535,43,0.07166666666666667,281,3,40,276,269,0.4483333333333333,0.09,0.015,0.0004862836958236542,0.4716666666666667
pooled,all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_X,union,600,441,0.735,98,0.16333333333333333,348,5,93,154,356,0.5933333333333334,0.215,0.06,0.0029911618672668443,0.6066666666666667
pooled,all_environments,cluster_preserving_mean_shift_delta_0.100,adaptive,mean_shift,0.1,I_X,family,600,372,0.62,37,0.06166666666666667,335,0,37,228,356,0.5933333333333334,0.215,0.06,0.0029911618672668443,0.6066666666666667
