gate,svd_dim,model,sensor,sensor_family,n_cal,alpha,order_statistic_rank,threshold,null_median,null_max,rule,batch_size,lattice_step_l1,minimum_net_confusion_count_units_to_exceed_threshold,minimum_observable_l1_strictly_above_threshold,interpretation
gate2_id_256,8,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.1796875,0.09375,0.203125,fire if value > threshold,256,0.0078125,24,0.1875,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate2_id_256,8,svc_rbf,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.203125,0.0703124999999978,0.2421874999999974,fire if value > threshold,256,0.0078125,27,0.2109375,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate2_id_256,10,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.171875,0.078125,0.203125,fire if value > threshold,256,0.0078125,23,0.1796875,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate2_id_256,10,svc_rbf,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.203125,0.0703125,0.2421875,fire if value > threshold,256,0.0078125,27,0.2109375,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate2_id_256,12,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.1796875,0.078125,0.2109375,fire if value > threshold,256,0.0078125,24,0.1875,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate2_id_256,12,svc_rbf,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.1796875,0.0859375,0.2109375,fire if value > threshold,256,0.0078125,24,0.1875,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3a_ood_tue_wed,8,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.2187499999999888,0.0781249999999994,0.281249999999991,fire if value > threshold,128,0.015625,14,0.21875,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3a_ood_tue_wed,8,svc_rbf,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.2187499999999921,0.07812499999999936,0.2656249999999824,fire if value > threshold,128,0.015625,14,0.21875,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3a_ood_tue_wed,10,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.21875,0.09374999999999965,0.28125,fire if value > threshold,128,0.015625,15,0.234375,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3a_ood_tue_wed,10,svc_rbf,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.2187499999999925,0.0781249999999997,0.2499999999999825,fire if value > threshold,128,0.015625,14,0.21875,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3a_ood_tue_wed,12,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.2343749999999926,0.10937499999999895,0.328125,fire if value > threshold,128,0.015625,15,0.234375,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3a_ood_tue_wed,12,svc_rbf,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.2031249999999984,0.07812499999999556,0.2343749999999906,fire if value > threshold,128,0.015625,13,0.203125,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.2187499999999966,0.0937499999999985,0.265625,fire if value > threshold,128,0.015625,14,0.21875,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3b_ood_tue_fri_portscan,8,svc_rbf,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.2031249999999969,0.0781249999999916,0.2343749999999981,fire if value > threshold,128,0.015625,13,0.203125,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.265625,0.125,0.453125,fire if value > threshold,128,0.015625,18,0.28125,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3b_ood_tue_fri_portscan,10,svc_rbf,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.2031249999999969,0.0781249999999922,0.2343749999999886,fire if value > threshold,128,0.015625,13,0.203125,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.25,0.14062499999999561,0.40625,fire if value > threshold,128,0.015625,17,0.265625,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3b_ood_tue_fri_portscan,12,svc_rbf,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.2031249999999895,0.0781249999999915,0.2187499999999984,fire if value > threshold,128,0.015625,13,0.203125,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.21875,0.109375,0.34375,fire if value > threshold,128,0.015625,15,0.234375,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3c_ood_wed_thu_webattacks,8,svc_rbf,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.2031249999999984,0.0781249999999916,0.2187499999999983,fire if value > threshold,128,0.015625,13,0.203125,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.234375,0.109375,0.296875,fire if value > threshold,128,0.015625,16,0.25,"exact 2/n L1 lattice implication for net confusion-cell count displacement; altered labels can cancel in aggregate; descriptive, not a statistical-power guarantee"
