gate,svd_dim,model,regime,n_sensors,n_cal,alpha,order_statistic_rank,family_threshold,calibration_family_fire_fraction,rule
gate2_id_256,8,qsvc_zz_r1,I_X,3,200,0.05,191,0.975,0.04,fire if max calibration rank score over the family > threshold
gate2_id_256,8,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.03,fire if max calibration rank score over the family > threshold
gate2_id_256,8,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.95,0.035,fire if max calibration rank score over the family > threshold
gate2_id_256,8,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate2_id_256,8,svc_rbf,I_X,3,200,0.05,191,0.975,0.04,fire if max calibration rank score over the family > threshold
gate2_id_256,8,svc_rbf,I_XF,6,200,0.05,191,0.985,0.035,fire if max calibration rank score over the family > threshold
gate2_id_256,8,svc_rbf,I_Ym,2,200,0.05,191,0.95,0.035,fire if max calibration rank score over the family > threshold
gate2_id_256,8,svc_rbf,I_XFY,10,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate2_id_256,10,qsvc_zz_r1,I_X,3,200,0.05,191,0.975,0.04,fire if max calibration rank score over the family > threshold
gate2_id_256,10,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.035,fire if max calibration rank score over the family > threshold
gate2_id_256,10,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.95,0.035,fire if max calibration rank score over the family > threshold
gate2_id_256,10,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.99,0.02,fire if max calibration rank score over the family > threshold
gate2_id_256,10,svc_rbf,I_X,3,200,0.05,191,0.975,0.04,fire if max calibration rank score over the family > threshold
gate2_id_256,10,svc_rbf,I_XF,6,200,0.05,191,0.985,0.035,fire if max calibration rank score over the family > threshold
gate2_id_256,10,svc_rbf,I_Ym,2,200,0.05,191,0.95,0.035,fire if max calibration rank score over the family > threshold
gate2_id_256,10,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.025,fire if max calibration rank score over the family > threshold
gate2_id_256,12,qsvc_zz_r1,I_X,3,200,0.05,191,0.98,0.03,fire if max calibration rank score over the family > threshold
gate2_id_256,12,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.035,fire if max calibration rank score over the family > threshold
gate2_id_256,12,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.95,0.035,fire if max calibration rank score over the family > threshold
gate2_id_256,12,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate2_id_256,12,svc_rbf,I_X,3,200,0.05,191,0.98,0.03,fire if max calibration rank score over the family > threshold
gate2_id_256,12,svc_rbf,I_XF,6,200,0.05,191,0.98,0.045,fire if max calibration rank score over the family > threshold
gate2_id_256,12,svc_rbf,I_Ym,2,200,0.05,191,0.95,0.035,fire if max calibration rank score over the family > threshold
gate2_id_256,12,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.025,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_X,3,200,0.05,191,0.97,0.045,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.03,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.99,0.025,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,8,svc_rbf,I_X,3,200,0.05,191,0.97,0.045,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,8,svc_rbf,I_XF,6,200,0.05,191,0.98,0.04,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,8,svc_rbf,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,8,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_X,3,200,0.05,191,0.975,0.04,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,10,svc_rbf,I_X,3,200,0.05,191,0.975,0.04,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,10,svc_rbf,I_XF,6,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,10,svc_rbf,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,10,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.025,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_X,3,200,0.05,191,0.975,0.04,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,12,svc_rbf,I_X,3,200,0.05,191,0.975,0.04,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,12,svc_rbf,I_XF,6,200,0.05,191,0.985,0.035,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,12,svc_rbf,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3a_ood_tue_wed,12,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.025,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_X,3,200,0.05,191,0.98,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,8,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.99,0.035,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_X,3,200,0.05,191,0.98,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_XF,6,200,0.05,191,0.985,0.035,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,8,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_X,3,200,0.05,191,0.98,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,10,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_X,3,200,0.05,191,0.98,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_XF,6,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,10,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.025,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_X,3,200,0.05,191,0.975,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,12,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_X,3,200,0.05,191,0.975,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_XF,6,200,0.05,191,0.985,0.035,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3b_ood_tue_fri_portscan,12,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_X,3,200,0.05,191,0.975,0.04,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.035,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,8,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_X,3,200,0.05,191,0.975,0.04,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_XF,6,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,8,svc_rbf,I_XFY,10,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_X,3,200,0.05,191,0.975,0.045,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.035,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,10,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_X,3,200,0.05,191,0.975,0.045,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_XF,6,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,10,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_X,3,200,0.05,191,0.98,0.035,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_XF,6,200,0.05,191,0.99,0.02,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,12,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.99,0.02,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_X,3,200,0.05,191,0.98,0.035,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_XF,6,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3c_ood_wed_thu_webattacks,12,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_X,3,200,0.05,191,0.98,0.04,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,8,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,8,svc_rbf,I_X,3,200,0.05,191,0.98,0.04,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,8,svc_rbf,I_XF,6,200,0.05,191,0.99,0.025,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,8,svc_rbf,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,8,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_X,3,200,0.05,191,0.975,0.045,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,10,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.99,0.035,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,10,svc_rbf,I_X,3,200,0.05,191,0.975,0.045,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,10,svc_rbf,I_XF,6,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,10,svc_rbf,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,10,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.035,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,12,qsvc_zz_r1,I_X,3,200,0.05,191,0.975,0.045,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,12,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,12,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,12,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.99,0.035,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,12,svc_rbf,I_X,3,200,0.05,191,0.975,0.045,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,12,svc_rbf,I_XF,6,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,12,svc_rbf,I_Ym,2,200,0.05,191,0.945,0.045,fire if max calibration rank score over the family > threshold
gate3d_ood_wed_fri_morning,12,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.035,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,qsvc_pauli_xyz_r1,I_X,3,200,0.05,191,0.975,0.045,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,qsvc_pauli_xyz_r1,I_XF,6,200,0.05,191,0.985,0.03,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,qsvc_pauli_xyz_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,qsvc_pauli_xyz_r1,I_XFY,10,200,0.05,191,0.99,0.025,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,qsvc_z_r1,I_X,3,200,0.05,191,0.975,0.045,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,qsvc_z_r1,I_XF,6,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,qsvc_z_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,qsvc_z_r1,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,qsvc_zz_r1,I_X,3,200,0.05,191,0.975,0.045,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.99,0.035,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,svc_rbf,I_X,3,200,0.05,191,0.975,0.045,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,svc_rbf,I_XF,6,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,svc_rbf,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,8,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,qsvc_pauli_xyz_r1,I_X,3,200,0.05,191,0.98,0.03,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,qsvc_pauli_xyz_r1,I_XF,6,200,0.05,191,0.98,0.045,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,qsvc_pauli_xyz_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,qsvc_pauli_xyz_r1,I_XFY,10,200,0.05,191,0.99,0.035,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,qsvc_z_r1,I_X,3,200,0.05,191,0.98,0.03,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,qsvc_z_r1,I_XF,6,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,qsvc_z_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,qsvc_z_r1,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,qsvc_zz_r1,I_X,3,200,0.05,191,0.98,0.03,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,svc_rbf,I_X,3,200,0.05,191,0.98,0.03,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,svc_rbf,I_XF,6,200,0.05,191,0.98,0.045,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,svc_rbf,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,10,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.015,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,qsvc_pauli_xyz_r1,I_X,3,200,0.05,191,0.98,0.035,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,qsvc_pauli_xyz_r1,I_XF,6,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,qsvc_pauli_xyz_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,qsvc_pauli_xyz_r1,I_XFY,10,200,0.05,191,0.99,0.035,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,qsvc_z_r1,I_X,3,200,0.05,191,0.98,0.035,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,qsvc_z_r1,I_XF,6,200,0.05,191,0.98,0.045,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,qsvc_z_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,qsvc_z_r1,I_XFY,10,200,0.05,191,0.99,0.02,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,qsvc_zz_r1,I_X,3,200,0.05,191,0.98,0.035,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.99,0.025,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,svc_rbf,I_X,3,200,0.05,191,0.98,0.035,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,svc_rbf,I_XF,6,200,0.05,191,0.985,0.035,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,svc_rbf,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5a_id_unsw,12,svc_rbf,I_XFY,10,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,qsvc_pauli_xyz_r1,I_X,3,200,0.05,191,0.98,0.045,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,qsvc_pauli_xyz_r1,I_XF,6,200,0.05,191,0.985,0.03,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,qsvc_pauli_xyz_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,qsvc_pauli_xyz_r1,I_XFY,10,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,qsvc_z_r1,I_X,3,200,0.05,191,0.98,0.045,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,qsvc_z_r1,I_XF,6,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,qsvc_z_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,qsvc_z_r1,I_XFY,10,200,0.05,191,0.99,0.02,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,qsvc_zz_r1,I_X,3,200,0.05,191,0.98,0.045,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,qsvc_zz_r1,I_XF,6,200,0.05,191,0.985,0.035,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,qsvc_zz_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,qsvc_zz_r1,I_XFY,10,200,0.05,191,0.99,0.025,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,svc_rbf,I_X,3,200,0.05,191,0.98,0.045,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,svc_rbf,I_XF,6,200,0.05,191,0.985,0.035,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,svc_rbf,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,8,svc_rbf,I_XFY,10,200,0.05,191,0.99,0.03,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,10,qsvc_pauli_xyz_r1,I_X,3,200,0.05,191,0.98,0.04,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,10,qsvc_pauli_xyz_r1,I_XF,6,200,0.05,191,0.985,0.035,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,10,qsvc_pauli_xyz_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,10,qsvc_pauli_xyz_r1,I_XFY,10,200,0.05,191,0.985,0.045,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,10,qsvc_z_r1,I_X,3,200,0.05,191,0.98,0.04,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,10,qsvc_z_r1,I_XF,6,200,0.05,191,0.985,0.04,fire if max calibration rank score over the family > threshold
gate5b_id_ton_iot,10,qsvc_z_r1,I_Ym,2,200,0.05,191,0.94,0.04,fire if max calibration rank score over the family > threshold
