gate,attack_family,attack,regime,rule,n,n_fire,detection_rate
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_X,union,60,5,0.08333333333333333
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_X,family_v12,60,4,0.06666666666666667
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_X,family,60,4,0.06666666666666667
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_XF,union,60,19,0.31666666666666665
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_XF,family_v12,60,18,0.3
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_XF,family,60,17,0.2833333333333333
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_Ym,union,60,0,0.0
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_Ym,family_v12,60,0,0.0
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_Ym,family,60,0,0.0
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_XFY,union,60,23,0.38333333333333336
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_XFY,family_v12,60,21,0.35
gate2_id_256,corruption,feature_sign_flip_p_0.020,I_XFY,family,60,20,0.3333333333333333
gate2_id_256,corruption,feature_sign_flip_p_0.050,I_X,union,60,30,0.5
gate2_id_256,corruption,feature_sign_flip_p_0.050,I_X,family_v12,60,30,0.5
gate2_id_256,corruption,feature_sign_flip_p_0.050,I_X,family,60,30,0.5
gate2_id_256,corruption,feature_sign_flip_p_0.050,I_XF,union,60,40,0.6666666666666666
gate2_id_256,corruption,feature_sign_flip_p_0.050,I_XF,family_v12,60,36,0.6
gate2_id_256,corruption,feature_sign_flip_p_0.050,I_XF,family,60,36,0.6
gate2_id_256,corruption,feature_sign_flip_p_0.050,I_Ym,union,60,0,0.0
gate2_id_256,corruption,feature_sign_flip_p_0.050,I_Ym,family_v12,60,0,0.0
gate2_id_256,corruption,feature_sign_flip_p_0.050,I_Ym,family,60,0,0.0
gate2_id_256,corruption,feature_sign_flip_p_0.050,I_XFY,union,60,42,0.7
gate2_id_256,corruption,feature_sign_flip_p_0.050,I_XFY,family_v12,60,38,0.6333333333333333
gate2_id_256,corruption,feature_sign_flip_p_0.050,I_XFY,family,60,38,0.6333333333333333
gate2_id_256,corruption,feature_sign_flip_p_0.100,I_X,union,60,30,0.5
gate2_id_256,corruption,feature_sign_flip_p_0.100,I_X,family_v12,60,30,0.5
gate2_id_256,corruption,feature_sign_flip_p_0.100,I_X,family,60,30,0.5
gate2_id_256,corruption,feature_sign_flip_p_0.100,I_XF,union,60,58,0.9666666666666667
gate2_id_256,corruption,feature_sign_flip_p_0.100,I_XF,family_v12,60,57,0.95
gate2_id_256,corruption,feature_sign_flip_p_0.100,I_XF,family,60,57,0.95
gate2_id_256,corruption,feature_sign_flip_p_0.100,I_Ym,union,60,0,0.0
gate2_id_256,corruption,feature_sign_flip_p_0.100,I_Ym,family_v12,60,0,0.0
gate2_id_256,corruption,feature_sign_flip_p_0.100,I_Ym,family,60,0,0.0
gate2_id_256,corruption,feature_sign_flip_p_0.100,I_XFY,union,60,59,0.9833333333333333
gate2_id_256,corruption,feature_sign_flip_p_0.100,I_XFY,family_v12,60,58,0.9666666666666667
gate2_id_256,corruption,feature_sign_flip_p_0.100,I_XFY,family,60,58,0.9666666666666667
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.020,I_X,union,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.020,I_X,family_v12,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.020,I_X,family,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.020,I_XF,union,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.020,I_XF,family_v12,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.020,I_XF,family,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.020,I_Ym,union,60,0,0.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.020,I_Ym,family_v12,60,0,0.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.020,I_Ym,family,60,0,0.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.020,I_XFY,union,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.020,I_XFY,family_v12,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.020,I_XFY,family,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.050,I_X,union,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.050,I_X,family_v12,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.050,I_X,family,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.050,I_XF,union,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.050,I_XF,family_v12,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.050,I_XF,family,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.050,I_Ym,union,60,0,0.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.050,I_Ym,family_v12,60,0,0.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.050,I_Ym,family,60,0,0.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.050,I_XFY,union,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.050,I_XFY,family_v12,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.050,I_XFY,family,60,60,1.0
gate2_id_256,covariate_shift,mean_shift_pf_delta_0.100,I_X,union,60,60,1.0
