all,attack_family,attack,regime,rule,n,n_fire,detection_rate
all_environments,corruption,feature_sign_flip_p_0.020,I_X,union,600,71,0.11833333333333333
all_environments,corruption,feature_sign_flip_p_0.020,I_X,family,600,54,0.09
all_environments,corruption,feature_sign_flip_p_0.020,I_XF,union,600,115,0.19166666666666668
all_environments,corruption,feature_sign_flip_p_0.020,I_XF,family,600,91,0.15166666666666667
all_environments,corruption,feature_sign_flip_p_0.020,I_Ym,union,600,0,0.0
all_environments,corruption,feature_sign_flip_p_0.020,I_Ym,family,600,0,0.0
all_environments,corruption,feature_sign_flip_p_0.020,I_XFY,union,600,120,0.2
all_environments,corruption,feature_sign_flip_p_0.020,I_XFY,family,600,92,0.15333333333333332
all_environments,corruption,feature_sign_flip_p_0.050,I_X,union,600,319,0.5316666666666666
all_environments,corruption,feature_sign_flip_p_0.050,I_X,family,600,281,0.4683333333333333
all_environments,corruption,feature_sign_flip_p_0.050,I_XF,union,600,384,0.64
all_environments,corruption,feature_sign_flip_p_0.050,I_XF,family,600,334,0.5566666666666666
all_environments,corruption,feature_sign_flip_p_0.050,I_Ym,union,600,0,0.0
all_environments,corruption,feature_sign_flip_p_0.050,I_Ym,family,600,0,0.0
all_environments,corruption,feature_sign_flip_p_0.050,I_XFY,union,600,386,0.6433333333333333
all_environments,corruption,feature_sign_flip_p_0.050,I_XFY,family,600,318,0.53
all_environments,corruption,feature_sign_flip_p_0.100,I_X,union,600,454,0.7566666666666667
all_environments,corruption,feature_sign_flip_p_0.100,I_X,family,600,433,0.7216666666666667
all_environments,corruption,feature_sign_flip_p_0.100,I_XF,union,600,526,0.8766666666666667
all_environments,corruption,feature_sign_flip_p_0.100,I_XF,family,600,509,0.8483333333333334
all_environments,corruption,feature_sign_flip_p_0.100,I_Ym,union,600,0,0.0
all_environments,corruption,feature_sign_flip_p_0.100,I_Ym,family,600,0,0.0
all_environments,corruption,feature_sign_flip_p_0.100,I_XFY,union,600,527,0.8783333333333333
all_environments,corruption,feature_sign_flip_p_0.100,I_XFY,family,600,504,0.84
