gate,split_seed,regime,rule,n,n_fire,false_alarm_rate
gate2_id_256,42,I_X,union,240,0,0.0
gate2_id_256,42,I_X,family,240,0,0.0
gate2_id_256,42,I_XF,union,240,6,0.025
gate2_id_256,42,I_XF,family,240,1,0.004166666666666667
gate2_id_256,42,I_Ym,union,240,0,0.0
gate2_id_256,42,I_Ym,family,240,0,0.0
gate2_id_256,42,I_XFY,union,240,17,0.07083333333333333
gate2_id_256,42,I_XFY,family,240,5,0.020833333333333332
gate2_id_256,43,I_X,union,240,80,0.3333333333333333
gate2_id_256,43,I_X,family,240,30,0.125
gate2_id_256,43,I_XF,union,240,90,0.375
gate2_id_256,43,I_XF,family,240,33,0.1375
gate2_id_256,43,I_Ym,union,240,6,0.025
gate2_id_256,43,I_Ym,family,240,6,0.025
gate2_id_256,43,I_XFY,union,240,145,0.6041666666666666
gate2_id_256,43,I_XFY,family,240,64,0.26666666666666666
gate2_id_256,44,I_X,union,240,57,0.2375
gate2_id_256,44,I_X,family,240,48,0.2
gate2_id_256,44,I_XF,union,240,74,0.30833333333333335
gate2_id_256,44,I_XF,family,240,48,0.2
gate2_id_256,44,I_Ym,union,240,6,0.025
gate2_id_256,44,I_Ym,family,240,6,0.025
gate2_id_256,44,I_XFY,union,240,75,0.3125
gate2_id_256,44,I_XFY,family,240,40,0.16666666666666666
gate2_id_256,45,I_X,union,240,0,0.0
gate2_id_256,45,I_X,family,240,0,0.0
gate2_id_256,45,I_XF,union,240,8,0.03333333333333333
gate2_id_256,45,I_XF,family,240,3,0.0125
gate2_id_256,45,I_Ym,union,240,42,0.175
gate2_id_256,45,I_Ym,family,240,42,0.175
gate2_id_256,45,I_XFY,union,240,44,0.18333333333333332
gate2_id_256,45,I_XFY,family,240,7,0.029166666666666667
gate2_id_256,46,I_X,union,240,107,0.44583333333333336
gate2_id_256,46,I_X,family,240,81,0.3375
gate2_id_256,46,I_XF,union,240,116,0.48333333333333334
gate2_id_256,46,I_XF,family,240,65,0.2708333333333333
gate2_id_256,46,I_Ym,union,240,0,0.0
gate2_id_256,46,I_Ym,family,240,0,0.0
gate2_id_256,46,I_XFY,union,240,116,0.48333333333333334
gate2_id_256,46,I_XFY,family,240,59,0.24583333333333332
gate3a_ood_tue_wed,42,I_X,union,240,26,0.10833333333333334
gate3a_ood_tue_wed,42,I_X,family,240,10,0.041666666666666664
gate3a_ood_tue_wed,42,I_XF,union,240,40,0.16666666666666666
gate3a_ood_tue_wed,42,I_XF,family,240,16,0.06666666666666667
gate3a_ood_tue_wed,42,I_Ym,union,240,6,0.025
gate3a_ood_tue_wed,42,I_Ym,family,240,6,0.025
gate3a_ood_tue_wed,42,I_XFY,union,240,45,0.1875
gate3a_ood_tue_wed,42,I_XFY,family,240,23,0.09583333333333334
gate3a_ood_tue_wed,43,I_X,union,240,20,0.08333333333333333
gate3a_ood_tue_wed,43,I_X,family,240,10,0.041666666666666664
gate3a_ood_tue_wed,43,I_XF,union,240,32,0.13333333333333333
gate3a_ood_tue_wed,43,I_XF,family,240,5,0.020833333333333332
gate3a_ood_tue_wed,43,I_Ym,union,240,0,0.0
gate3a_ood_tue_wed,43,I_Ym,family,240,0,0.0
gate3a_ood_tue_wed,43,I_XFY,union,240,32,0.13333333333333333
gate3a_ood_tue_wed,43,I_XFY,family,240,4,0.016666666666666666
gate3a_ood_tue_wed,44,I_X,union,240,60,0.25
gate3a_ood_tue_wed,44,I_X,family,240,44,0.18333333333333332
gate3a_ood_tue_wed,44,I_XF,union,240,71,0.29583333333333334
gate3a_ood_tue_wed,44,I_XF,family,240,37,0.15416666666666667
gate3a_ood_tue_wed,44,I_Ym,union,240,12,0.05
gate3a_ood_tue_wed,44,I_Ym,family,240,12,0.05
gate3a_ood_tue_wed,44,I_XFY,union,240,81,0.3375
gate3a_ood_tue_wed,44,I_XFY,family,240,40,0.16666666666666666
gate3a_ood_tue_wed,45,I_X,union,240,10,0.041666666666666664
gate3a_ood_tue_wed,45,I_X,family,240,6,0.025
gate3a_ood_tue_wed,45,I_XF,union,240,49,0.20416666666666666
gate3a_ood_tue_wed,45,I_XF,family,240,18,0.075
gate3a_ood_tue_wed,45,I_Ym,union,240,0,0.0
gate3a_ood_tue_wed,45,I_Ym,family,240,0,0.0
gate3a_ood_tue_wed,45,I_XFY,union,240,50,0.20833333333333334
gate3a_ood_tue_wed,45,I_XFY,family,240,16,0.06666666666666667
gate3a_ood_tue_wed,46,I_X,union,240,64,0.26666666666666666
gate3a_ood_tue_wed,46,I_X,family,240,48,0.2
gate3a_ood_tue_wed,46,I_XF,union,240,84,0.35
gate3a_ood_tue_wed,46,I_XF,family,240,38,0.15833333333333333
gate3a_ood_tue_wed,46,I_Ym,union,240,12,0.05
gate3a_ood_tue_wed,46,I_Ym,family,240,12,0.05
gate3a_ood_tue_wed,46,I_XFY,union,240,97,0.4041666666666667
gate3a_ood_tue_wed,46,I_XFY,family,240,39,0.1625
gate3b_ood_tue_fri_portscan,42,I_X,union,240,20,0.08333333333333333
gate3b_ood_tue_fri_portscan,42,I_X,family,240,13,0.05416666666666667
gate3b_ood_tue_fri_portscan,42,I_XF,union,240,39,0.1625
gate3b_ood_tue_fri_portscan,42,I_XF,family,240,16,0.06666666666666667
gate3b_ood_tue_fri_portscan,42,I_Ym,union,240,6,0.025
gate3b_ood_tue_fri_portscan,42,I_Ym,family,240,6,0.025
gate3b_ood_tue_fri_portscan,42,I_XFY,union,240,44,0.18333333333333332
gate3b_ood_tue_fri_portscan,42,I_XFY,family,240,11,0.04583333333333333
gate3b_ood_tue_fri_portscan,43,I_X,union,240,6,0.025
gate3b_ood_tue_fri_portscan,43,I_X,family,240,6,0.025
gate3b_ood_tue_fri_portscan,43,I_XF,union,240,23,0.09583333333333334
gate3b_ood_tue_fri_portscan,43,I_XF,family,240,9,0.0375
gate3b_ood_tue_fri_portscan,43,I_Ym,union,240,0,0.0
gate3b_ood_tue_fri_portscan,43,I_Ym,family,240,0,0.0
gate3b_ood_tue_fri_portscan,43,I_XFY,union,240,26,0.10833333333333334
gate3b_ood_tue_fri_portscan,43,I_XFY,family,240,7,0.029166666666666667
gate3b_ood_tue_fri_portscan,44,I_X,union,240,4,0.016666666666666666
gate3b_ood_tue_fri_portscan,44,I_X,family,240,0,0.0
gate3b_ood_tue_fri_portscan,44,I_XF,union,240,26,0.10833333333333334
gate3b_ood_tue_fri_portscan,44,I_XF,family,240,4,0.016666666666666666
gate3b_ood_tue_fri_portscan,44,I_Ym,union,240,12,0.05
gate3b_ood_tue_fri_portscan,44,I_Ym,family,240,12,0.05
gate3b_ood_tue_fri_portscan,44,I_XFY,union,240,40,0.16666666666666666
gate3b_ood_tue_fri_portscan,44,I_XFY,family,240,12,0.05
gate3b_ood_tue_fri_portscan,45,I_X,union,240,34,0.14166666666666666
gate3b_ood_tue_fri_portscan,45,I_X,family,240,20,0.08333333333333333
gate3b_ood_tue_fri_portscan,45,I_XF,union,240,73,0.30416666666666664
