gate,svd_dim,model,regime,n_resplits,resplit_rate_family_v12,resplit_rate_family,resplit_rate_family_max,conformal_level
gate2_id_256,8,qsvc_zz_r1,I_X,30,0.05366666666666667,0.04266666666666667,0.09,0.04975124378109453
gate2_id_256,8,qsvc_zz_r1,I_XF,30,0.06149999999999999,0.05183333333333332,0.1,0.04975124378109453
gate2_id_256,8,qsvc_zz_r1,I_Ym,30,0.041166666666666664,0.041166666666666664,0.075,0.04975124378109453
gate2_id_256,8,qsvc_zz_r1,I_XFY,30,0.05583333333333332,0.03000000000000001,0.08,0.04975124378109453
gate2_id_256,8,svc_rbf,I_X,30,0.049499999999999995,0.042,0.075,0.04975124378109453
gate2_id_256,8,svc_rbf,I_XF,30,0.05566666666666666,0.042,0.07,0.04975124378109453
gate2_id_256,8,svc_rbf,I_Ym,30,0.04083333333333334,0.04083333333333334,0.08,0.04975124378109453
gate2_id_256,8,svc_rbf,I_XFY,30,0.058666666666666666,0.04,0.08,0.04975124378109453
gate2_id_256,10,qsvc_zz_r1,I_X,30,0.059166666666666666,0.05366666666666666,0.1,0.04975124378109453
gate2_id_256,10,qsvc_zz_r1,I_XF,30,0.057666666666666665,0.041999999999999996,0.1,0.04975124378109453
gate2_id_256,10,qsvc_zz_r1,I_Ym,30,0.041999999999999996,0.041999999999999996,0.115,0.04975124378109453
gate2_id_256,10,qsvc_zz_r1,I_XFY,30,0.058166666666666665,0.036833333333333336,0.075,0.04975124378109453
gate2_id_256,10,svc_rbf,I_X,30,0.05233333333333333,0.04733333333333333,0.09,0.04975124378109453
gate2_id_256,10,svc_rbf,I_XF,30,0.054,0.04233333333333333,0.08,0.04975124378109453
gate2_id_256,10,svc_rbf,I_Ym,30,0.03866666666666666,0.03866666666666666,0.075,0.04975124378109453
gate2_id_256,10,svc_rbf,I_XFY,30,0.05683333333333332,0.0405,0.08,0.04975124378109453
gate2_id_256,12,qsvc_zz_r1,I_X,30,0.050166666666666665,0.04200000000000001,0.1,0.04975124378109453
gate2_id_256,12,qsvc_zz_r1,I_XF,30,0.04966666666666666,0.03266666666666667,0.07,0.04975124378109453
gate2_id_256,12,qsvc_zz_r1,I_Ym,30,0.048999999999999995,0.048999999999999995,0.08,0.04975124378109453
gate2_id_256,12,qsvc_zz_r1,I_XFY,30,0.05866666666666666,0.035166666666666666,0.105,0.04975124378109453
gate2_id_256,12,svc_rbf,I_X,30,0.0465,0.036833333333333336,0.095,0.04975124378109453
gate2_id_256,12,svc_rbf,I_XF,30,0.066,0.04666666666666666,0.125,0.04975124378109453
gate2_id_256,12,svc_rbf,I_Ym,30,0.042166666666666665,0.042166666666666665,0.11,0.04975124378109453
gate2_id_256,12,svc_rbf,I_XFY,30,0.05633333333333334,0.03799999999999999,0.08,0.04975124378109453
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_X,30,0.05433333333333333,0.04483333333333332,0.085,0.04975124378109453
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_XF,30,0.06383333333333334,0.043000000000000003,0.115,0.04975124378109453
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_Ym,30,0.034333333333333334,0.034333333333333334,0.065,0.04975124378109453
gate3a_ood_tue_wed,8,qsvc_zz_r1,I_XFY,30,0.058,0.031000000000000007,0.075,0.04975124378109453
gate3a_ood_tue_wed,8,svc_rbf,I_X,30,0.04800000000000001,0.041,0.09,0.04975124378109453
gate3a_ood_tue_wed,8,svc_rbf,I_XF,30,0.06816666666666668,0.04799999999999998,0.075,0.04975124378109453
gate3a_ood_tue_wed,8,svc_rbf,I_Ym,30,0.04216666666666667,0.04216666666666667,0.08,0.04975124378109453
gate3a_ood_tue_wed,8,svc_rbf,I_XFY,30,0.060166666666666674,0.03933333333333333,0.105,0.04975124378109453
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_X,30,0.049166666666666664,0.03866666666666666,0.08,0.04975124378109453
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_XF,30,0.06116666666666667,0.0445,0.085,0.04975124378109453
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_Ym,30,0.038833333333333324,0.038833333333333324,0.075,0.04975124378109453
gate3a_ood_tue_wed,10,qsvc_zz_r1,I_XFY,30,0.06366666666666668,0.03333333333333334,0.06,0.04975124378109453
gate3a_ood_tue_wed,10,svc_rbf,I_X,30,0.05383333333333333,0.04466666666666667,0.11,0.04975124378109453
gate3a_ood_tue_wed,10,svc_rbf,I_XF,30,0.05566666666666667,0.0375,0.09,0.04975124378109453
gate3a_ood_tue_wed,10,svc_rbf,I_Ym,30,0.040499999999999994,0.040499999999999994,0.08,0.04975124378109453
gate3a_ood_tue_wed,10,svc_rbf,I_XFY,30,0.062000000000000006,0.03699999999999999,0.08,0.04975124378109453
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_X,30,0.05449999999999999,0.04416666666666667,0.085,0.04975124378109453
gate3a_ood_tue_wed,12,qsvc_zz_r1,I_XF,30,0.05866666666666666,0.04016666666666666,0.11,0.04975124378109453
