regime,policy,observation_class,action,n
I_X,serve_always,clean,allow,12000
I_X,serve_always,clean,hold,0
I_X,serve_always,clean,block,0
I_X,serve_always,benign,allow,1200
I_X,serve_always,benign,hold,0
I_X,serve_always,benign,block,0
I_X,serve_always,intervened,allow,10800
I_X,serve_always,intervened,hold,0
I_X,serve_always,intervened,block,0
I_X,union_uncalibrated,clean,allow,10500
I_X,union_uncalibrated,clean,hold,1500
I_X,union_uncalibrated,clean,block,0
I_X,union_uncalibrated,benign,allow,293
I_X,union_uncalibrated,benign,hold,907
I_X,union_uncalibrated,benign,block,0
I_X,union_uncalibrated,intervened,allow,6356
I_X,union_uncalibrated,intervened,hold,4444
I_X,union_uncalibrated,intervened,block,0
I_X,family_calibrated,clean,allow,11267
I_X,family_calibrated,clean,hold,733
I_X,family_calibrated,clean,block,0
I_X,family_calibrated,benign,allow,498
I_X,family_calibrated,benign,hold,702
I_X,family_calibrated,benign,block,0
I_X,family_calibrated,intervened,allow,6435
I_X,family_calibrated,intervened,hold,4365
I_X,family_calibrated,intervened,block,0
I_X,family_calibrated_strict,clean,allow,0
I_X,family_calibrated_strict,clean,hold,12000
I_X,family_calibrated_strict,clean,block,0
I_X,family_calibrated_strict,benign,allow,0
I_X,family_calibrated_strict,benign,hold,1200
I_X,family_calibrated_strict,benign,block,0
I_X,family_calibrated_strict,intervened,allow,0
I_X,family_calibrated_strict,intervened,hold,10800
I_X,family_calibrated_strict,intervened,block,0
I_XF,serve_always,clean,allow,12000
I_XF,serve_always,clean,hold,0
I_XF,serve_always,clean,block,0
I_XF,serve_always,benign,allow,1200
I_XF,serve_always,benign,hold,0
I_XF,serve_always,benign,block,0
I_XF,serve_always,intervened,allow,10800
I_XF,serve_always,intervened,hold,0
I_XF,serve_always,intervened,block,0
I_XF,union_uncalibrated,clean,allow,9562
I_XF,union_uncalibrated,clean,hold,2438
I_XF,union_uncalibrated,clean,block,0
I_XF,union_uncalibrated,benign,allow,290
I_XF,union_uncalibrated,benign,hold,910
I_XF,union_uncalibrated,benign,block,0
I_XF,union_uncalibrated,intervened,allow,6125
I_XF,union_uncalibrated,intervened,hold,4675
I_XF,union_uncalibrated,intervened,block,0
I_XF,family_calibrated,clean,allow,11129
I_XF,family_calibrated,clean,hold,871
I_XF,family_calibrated,clean,block,0
I_XF,family_calibrated,benign,allow,552
I_XF,family_calibrated,benign,hold,648
I_XF,family_calibrated,benign,block,0
I_XF,family_calibrated,intervened,allow,6246
I_XF,family_calibrated,intervened,hold,4554
I_XF,family_calibrated,intervened,block,0
I_XF,family_calibrated_strict,clean,allow,0
I_XF,family_calibrated_strict,clean,hold,12000
I_XF,family_calibrated_strict,clean,block,0
I_XF,family_calibrated_strict,benign,allow,0
I_XF,family_calibrated_strict,benign,hold,1200
I_XF,family_calibrated_strict,benign,block,0
I_XF,family_calibrated_strict,intervened,allow,0
I_XF,family_calibrated_strict,intervened,hold,10800
I_XF,family_calibrated_strict,intervened,block,0
I_Ym,serve_always,clean,allow,12000
I_Ym,serve_always,clean,hold,0
I_Ym,serve_always,clean,block,0
I_Ym,serve_always,benign,allow,1200
I_Ym,serve_always,benign,hold,0
I_Ym,serve_always,benign,block,0
I_Ym,serve_always,intervened,allow,10800
I_Ym,serve_always,intervened,hold,0
I_Ym,serve_always,intervened,block,0
I_Ym,union_uncalibrated,clean,allow,11430
I_Ym,union_uncalibrated,clean,hold,570
I_Ym,union_uncalibrated,clean,block,0
I_Ym,union_uncalibrated,benign,allow,1200
I_Ym,union_uncalibrated,benign,hold,0
I_Ym,union_uncalibrated,benign,block,0
I_Ym,union_uncalibrated,intervened,allow,10800
I_Ym,union_uncalibrated,intervened,hold,0
I_Ym,union_uncalibrated,intervened,block,0
I_Ym,family_calibrated,clean,allow,11430
I_Ym,family_calibrated,clean,hold,570
I_Ym,family_calibrated,clean,block,0
I_Ym,family_calibrated,benign,allow,1200
I_Ym,family_calibrated,benign,hold,0
I_Ym,family_calibrated,benign,block,0
I_Ym,family_calibrated,intervened,allow,10800
I_Ym,family_calibrated,intervened,hold,0
I_Ym,family_calibrated,intervened,block,0
I_Ym,family_calibrated_strict,clean,allow,0
I_Ym,family_calibrated_strict,clean,hold,12000
I_Ym,family_calibrated_strict,clean,block,0
I_Ym,family_calibrated_strict,benign,allow,0
I_Ym,family_calibrated_strict,benign,hold,1200
I_Ym,family_calibrated_strict,benign,block,0
I_Ym,family_calibrated_strict,intervened,allow,0
I_Ym,family_calibrated_strict,intervened,hold,10800
I_Ym,family_calibrated_strict,intervened,block,0
I_XFY,serve_always,clean,allow,12000
I_XFY,serve_always,clean,hold,0
I_XFY,serve_always,clean,block,0
I_XFY,serve_always,benign,allow,1200
I_XFY,serve_always,benign,hold,0
I_XFY,serve_always,benign,block,0
I_XFY,serve_always,intervened,allow,10800
I_XFY,serve_always,intervened,hold,0
I_XFY,serve_always,intervened,block,0
I_XFY,union_uncalibrated,clean,allow,8887
I_XFY,union_uncalibrated,clean,hold,3113
