regime,policy,tau,trusted_reference,n_clean,false_hold,false_block,n_benign,benign_hold,benign_block,n_intervened,n_material,n_immaterial,unsafe_allow,true_hold,true_block,immaterial_allow,integrity_only_hold_block,residual_blind_material,decision_fpr,benign_hold_block_rate,safe_allow,containment,unsafe_allow_rate,coverage
I_X,serve_always,0.0,False,12000,0,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,2617,0.0,0.0,16992,0.0,1.0,0.6265696347031964
I_X,serve_always,0.02,False,12000,0,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,1319,0.0,0.0,20198,0.0,1.0,0.6530773277222515
I_X,serve_always,0.05,False,12000,0,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,444,0.0,0.0,22130,0.0,1.0,0.7625668449197861
I_X,union_uncalibrated,0.0,False,12000,1500,0,1200,907,0,10800,7008,3792,4429,2579,0,1927,1865,2617,0.125,0.7558333333333334,12720,0.3680079908675799,0.63199200913242,0.6265696347031964
I_X,union_uncalibrated,0.02,False,12000,1500,0,1200,907,0,10800,3802,6998,2128,1674,0,4228,2770,1319,0.125,0.7558333333333334,15021,0.4402945817990531,0.5597054182009469,0.6530773277222515
I_X,union_uncalibrated,0.05,False,12000,1500,0,1200,907,0,10800,1870,8930,652,1218,0,5704,3226,444,0.125,0.7558333333333334,16497,0.651336898395722,0.34866310160427805,0.7625668449197861
I_X,family_calibrated,0.0,False,12000,733,0,1200,702,0,10800,7008,3792,4494,2514,0,1941,1851,2617,0.06108333333333334,0.585,13706,0.3587328767123288,0.6412671232876712,0.6265696347031964
I_X,family_calibrated,0.02,False,12000,733,0,1200,702,0,10800,3802,6998,2174,1628,0,4261,2737,1319,0.06108333333333334,0.585,16026,0.4281956864807996,0.5718043135192005,0.6530773277222515
I_X,family_calibrated,0.05,False,12000,733,0,1200,702,0,10800,1870,8930,680,1190,0,5755,3175,444,0.06108333333333334,0.585,17520,0.6363636363636364,0.36363636363636365,0.7625668449197861
I_X,family_calibrated_strict,0.0,False,12000,12000,0,1200,1200,0,10800,7008,3792,0,7008,0,0,3792,2617,1.0,1.0,0,1.0,0.0,0.6265696347031964
I_X,family_calibrated_strict,0.02,False,12000,12000,0,1200,1200,0,10800,3802,6998,0,3802,0,0,6998,1319,1.0,1.0,0,1.0,0.0,0.6530773277222515
I_X,family_calibrated_strict,0.05,False,12000,12000,0,1200,1200,0,10800,1870,8930,0,1870,0,0,8930,444,1.0,1.0,0,1.0,0.0,0.7625668449197861
I_XF,serve_always,0.0,False,12000,0,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,2617,0.0,0.0,16992,0.0,1.0,0.6265696347031964
I_XF,serve_always,0.02,False,12000,0,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,1319,0.0,0.0,20198,0.0,1.0,0.6530773277222515
I_XF,serve_always,0.05,False,12000,0,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,444,0.0,0.0,22130,0.0,1.0,0.7625668449197861
I_XF,union_uncalibrated,0.0,False,12000,2438,0,1200,910,0,10800,7008,3792,4231,2777,0,1894,1898,2617,0.20316666666666666,0.7583333333333333,11746,0.3962614155251142,0.6037385844748858,0.6265696347031964
I_XF,union_uncalibrated,0.02,False,12000,2438,0,1200,910,0,10800,3802,6998,1977,1825,0,4148,2850,1319,0.20316666666666666,0.7583333333333333,14000,0.4800105207785376,0.5199894792214624,0.6530773277222515
I_XF,union_uncalibrated,0.05,False,12000,2438,0,1200,910,0,10800,1870,8930,566,1304,0,5559,3371,444,0.20316666666666666,0.7583333333333333,15411,0.6973262032085561,0.30267379679144385,0.7625668449197861
I_XF,family_calibrated,0.0,False,12000,871,0,1200,648,0,10800,7008,3792,4327,2681,0,1919,1873,2617,0.07258333333333333,0.54,13600,0.3825627853881279,0.6174372146118722,0.6265696347031964
I_XF,family_calibrated,0.02,False,12000,871,0,1200,648,0,10800,3802,6998,2046,1756,0,4200,2798,1319,0.07258333333333333,0.54,15881,0.4618621778011573,0.5381378221988428,0.6530773277222515
I_XF,family_calibrated,0.05,False,12000,871,0,1200,648,0,10800,1870,8930,609,1261,0,5637,3293,444,0.07258333333333333,0.54,17318,0.674331550802139,0.325668449197861,0.7625668449197861
I_XF,family_calibrated_strict,0.0,False,12000,12000,0,1200,1200,0,10800,7008,3792,0,7008,0,0,3792,2617,1.0,1.0,0,1.0,0.0,0.6265696347031964
I_XF,family_calibrated_strict,0.02,False,12000,12000,0,1200,1200,0,10800,3802,6998,0,3802,0,0,6998,1319,1.0,1.0,0,1.0,0.0,0.6530773277222515
I_XF,family_calibrated_strict,0.05,False,12000,12000,0,1200,1200,0,10800,1870,8930,0,1870,0,0,8930,444,1.0,1.0,0,1.0,0.0,0.7625668449197861
I_Ym,serve_always,0.0,False,12000,0,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,5450,0.0,0.0,16992,0.0,1.0,0.22231735159817356
I_Ym,serve_always,0.02,False,12000,0,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,3028,0.0,0.0,20198,0.0,1.0,0.20357706470278802
I_Ym,serve_always,0.05,False,12000,0,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,1614,0.0,0.0,22130,0.0,1.0,0.13689839572192508
I_Ym,union_uncalibrated,0.0,False,12000,570,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,5450,0.0475,0.0,16422,0.0,1.0,0.22231735159817356
I_Ym,union_uncalibrated,0.02,False,12000,570,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,3028,0.0475,0.0,19628,0.0,1.0,0.20357706470278802
I_Ym,union_uncalibrated,0.05,False,12000,570,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,1614,0.0475,0.0,21560,0.0,1.0,0.13689839572192508
I_Ym,family_calibrated,0.0,False,12000,570,0,1200,0,0,10800,7008,3792,7008,0,0,3792,0,5450,0.0475,0.0,16422,0.0,1.0,0.22231735159817356
I_Ym,family_calibrated,0.02,False,12000,570,0,1200,0,0,10800,3802,6998,3802,0,0,6998,0,3028,0.0475,0.0,19628,0.0,1.0,0.20357706470278802
I_Ym,family_calibrated,0.05,False,12000,570,0,1200,0,0,10800,1870,8930,1870,0,0,8930,0,1614,0.0475,0.0,21560,0.0,1.0,0.13689839572192508
I_Ym,family_calibrated_strict,0.0,False,12000,12000,0,1200,1200,0,10800,7008,3792,0,7008,0,0,3792,5450,1.0,1.0,0,1.0,0.0,0.22231735159817356
I_Ym,family_calibrated_strict,0.02,False,12000,12000,0,1200,1200,0,10800,3802,6998,0,3802,0,0,6998,3028,1.0,1.0,0,1.0,0.0,0.20357706470278802
I_Ym,family_calibrated_strict,0.05,False,12000,12000,0,1200,1200,0,10800,1870,8930,0,1870,0,0,8930,1614,1.0,1.0,0,1.0,0.0,0.13689839572192508
