family_rule,gate,regime,policy,tau,n_clean,decision_fpr,benign_interruption_rate,n_material,unsafe_allow,containment
conformal,gate2_id_256,I_X,serve_always,0.0,1200,0.0,0.0,830,830,0.0
conformal,gate3a_ood_tue_wed,I_X,serve_always,0.0,1200,0.0,0.0,457,457,0.0
conformal,gate3b_ood_tue_fri_portscan,I_X,serve_always,0.0,1200,0.0,0.0,424,424,0.0
conformal,gate3c_ood_wed_thu_webattacks,I_X,serve_always,0.0,1200,0.0,0.0,545,545,0.0
conformal,gate3d_ood_wed_fri_morning,I_X,serve_always,0.0,1200,0.0,0.0,479,479,0.0
conformal,gate5a_id_unsw,I_X,serve_always,0.0,2400,0.0,0.0,1742,1742,0.0
conformal,gate5b_id_ton_iot,I_X,serve_always,0.0,2400,0.0,0.0,1679,1679,0.0
conformal,gate6_ood_unsw,I_X,serve_always,0.0,1200,0.0,0.0,852,852,0.0
conformal,gate2_id_256,I_X,union_uncalibrated,0.0,1200,0.20333333333333334,1.0,830,595,0.28313253012048195
conformal,gate3a_ood_tue_wed,I_X,union_uncalibrated,0.0,1200,0.15,0.975,457,292,0.3610503282275711
conformal,gate3b_ood_tue_fri_portscan,I_X,union_uncalibrated,0.0,1200,0.06583333333333333,1.0,424,237,0.4410377358490566
conformal,gate3c_ood_wed_thu_webattacks,I_X,union_uncalibrated,0.0,1200,0.07,0.9583333333333334,545,298,0.45321100917431195
conformal,gate3d_ood_wed_fri_morning,I_X,union_uncalibrated,0.0,1200,0.1325,1.0,479,238,0.5031315240083507
conformal,gate5a_id_unsw,I_X,union_uncalibrated,0.0,2400,0.06333333333333334,0.44583333333333336,1742,1147,0.3415614236509759
conformal,gate5b_id_ton_iot,I_X,union_uncalibrated,0.0,2400,0.215,0.7458333333333333,1679,1016,0.39487790351399643
conformal,gate6_ood_unsw,I_X,union_uncalibrated,0.0,1200,0.07166666666666667,0.24166666666666667,852,606,0.2887323943661972
conformal,gate2_id_256,I_X,family_calibrated,0.0,1200,0.125,1.0,830,596,0.2819277108433735
conformal,gate3a_ood_tue_wed,I_X,family_calibrated,0.0,1200,0.09166666666666666,0.9583333333333334,457,294,0.35667396061269147
conformal,gate3b_ood_tue_fri_portscan,I_X,family_calibrated,0.0,1200,0.03166666666666667,1.0,424,242,0.42924528301886794
conformal,gate3c_ood_wed_thu_webattacks,I_X,family_calibrated,0.0,1200,0.04416666666666667,0.725,545,308,0.43486238532110094
conformal,gate3d_ood_wed_fri_morning,I_X,family_calibrated,0.0,1200,0.049166666666666664,1.0,479,244,0.4906054279749478
conformal,gate5a_id_unsw,I_X,family_calibrated,0.0,2400,0.023333333333333334,0.24166666666666667,1742,1162,0.33295063145809417
conformal,gate5b_id_ton_iot,I_X,family_calibrated,0.0,2400,0.06458333333333334,0.14166666666666666,1679,1037,0.3823704586063133
conformal,gate6_ood_unsw,I_X,family_calibrated,0.0,1200,0.0425,0.0,852,613,0.2805164319248826
conformal,gate2_id_256,I_X,family_calibrated_strict,0.0,1200,1.0,1.0,830,0,1.0
conformal,gate3a_ood_tue_wed,I_X,family_calibrated_strict,0.0,1200,1.0,1.0,457,0,1.0
conformal,gate3b_ood_tue_fri_portscan,I_X,family_calibrated_strict,0.0,1200,1.0,1.0,424,0,1.0
conformal,gate3c_ood_wed_thu_webattacks,I_X,family_calibrated_strict,0.0,1200,1.0,1.0,545,0,1.0
conformal,gate3d_ood_wed_fri_morning,I_X,family_calibrated_strict,0.0,1200,1.0,1.0,479,0,1.0
conformal,gate5a_id_unsw,I_X,family_calibrated_strict,0.0,2400,1.0,1.0,1742,0,1.0
conformal,gate5b_id_ton_iot,I_X,family_calibrated_strict,0.0,2400,1.0,1.0,1679,0,1.0
conformal,gate6_ood_unsw,I_X,family_calibrated_strict,0.0,1200,1.0,1.0,852,0,1.0
conformal,gate2_id_256,I_XF,serve_always,0.0,1200,0.0,0.0,830,830,0.0
conformal,gate3a_ood_tue_wed,I_XF,serve_always,0.0,1200,0.0,0.0,457,457,0.0
conformal,gate3b_ood_tue_fri_portscan,I_XF,serve_always,0.0,1200,0.0,0.0,424,424,0.0
conformal,gate3c_ood_wed_thu_webattacks,I_XF,serve_always,0.0,1200,0.0,0.0,545,545,0.0
conformal,gate3d_ood_wed_fri_morning,I_XF,serve_always,0.0,1200,0.0,0.0,479,479,0.0
conformal,gate5a_id_unsw,I_XF,serve_always,0.0,2400,0.0,0.0,1742,1742,0.0
conformal,gate5b_id_ton_iot,I_XF,serve_always,0.0,2400,0.0,0.0,1679,1679,0.0
