regime,policy,observation_class,reason,n
I_X,family_calibrated,benign,allowed_with_residual_blind_region:prediction+label,498
I_X,family_calibrated,benign,family_calibrated_fired,702
I_X,family_calibrated,clean,allowed_with_residual_blind_region:prediction+label,11267
I_X,family_calibrated,clean,family_calibrated_fired,733
I_X,family_calibrated,intervened,allowed_with_residual_blind_region:prediction+label,6435
I_X,family_calibrated,intervened,family_calibrated_fired,4365
I_X,family_calibrated_strict,benign,family_calibrated_fired,702
I_X,family_calibrated_strict,benign,unverified_boundary:label,498
I_X,family_calibrated_strict,benign,unverified_boundary:prediction,498
I_X,family_calibrated_strict,clean,family_calibrated_fired,733
I_X,family_calibrated_strict,clean,unverified_boundary:label,11267
I_X,family_calibrated_strict,clean,unverified_boundary:prediction,11267
I_X,family_calibrated_strict,intervened,family_calibrated_fired,4365
I_X,family_calibrated_strict,intervened,unverified_boundary:label,6435
I_X,family_calibrated_strict,intervened,unverified_boundary:prediction,6435
I_X,serve_always,benign,policy_serve_always,1200
I_X,serve_always,clean,policy_serve_always,12000
I_X,serve_always,intervened,policy_serve_always,10800
I_X,union_uncalibrated,benign,allowed_with_residual_blind_region:prediction+label,293
I_X,union_uncalibrated,benign,union_sensor_fired,907
I_X,union_uncalibrated,clean,allowed_with_residual_blind_region:prediction+label,10500
I_X,union_uncalibrated,clean,union_sensor_fired,1500
I_X,union_uncalibrated,intervened,allowed_with_residual_blind_region:prediction+label,6356
I_X,union_uncalibrated,intervened,union_sensor_fired,4444
I_XF,family_calibrated,benign,allowed_with_residual_blind_region:label,552
I_XF,family_calibrated,benign,family_calibrated_fired,648
I_XF,family_calibrated,clean,allowed_with_residual_blind_region:label,11129
I_XF,family_calibrated,clean,family_calibrated_fired,871
I_XF,family_calibrated,intervened,allowed_with_residual_blind_region:label,6246
I_XF,family_calibrated,intervened,family_calibrated_fired,4554
I_XF,family_calibrated_strict,benign,family_calibrated_fired,648
I_XF,family_calibrated_strict,benign,unverified_boundary:label,552
I_XF,family_calibrated_strict,clean,family_calibrated_fired,871
I_XF,family_calibrated_strict,clean,unverified_boundary:label,11129
I_XF,family_calibrated_strict,intervened,family_calibrated_fired,4554
I_XF,family_calibrated_strict,intervened,unverified_boundary:label,6246
I_XF,serve_always,benign,policy_serve_always,1200
I_XF,serve_always,clean,policy_serve_always,12000
I_XF,serve_always,intervened,policy_serve_always,10800
I_XF,union_uncalibrated,benign,allowed_with_residual_blind_region:label,290
I_XF,union_uncalibrated,benign,union_sensor_fired,910
I_XF,union_uncalibrated,clean,allowed_with_residual_blind_region:label,9562
I_XF,union_uncalibrated,clean,union_sensor_fired,2438
I_XF,union_uncalibrated,intervened,allowed_with_residual_blind_region:label,6125
I_XF,union_uncalibrated,intervened,union_sensor_fired,4675
I_XFY,family_calibrated,benign,all_protected_boundaries_covered,570
I_XFY,family_calibrated,benign,family_calibrated_fired,630
I_XFY,family_calibrated,clean,all_protected_boundaries_covered,11058
I_XFY,family_calibrated,clean,family_calibrated_fired,942
I_XFY,family_calibrated,intervened,all_protected_boundaries_covered,6255
I_XFY,family_calibrated,intervened,family_calibrated_fired,4545
I_XFY,family_calibrated_strict,benign,all_protected_boundaries_covered,570
I_XFY,family_calibrated_strict,benign,family_calibrated_fired,630
I_XFY,family_calibrated_strict,clean,all_protected_boundaries_covered,11058
I_XFY,family_calibrated_strict,clean,family_calibrated_fired,942
I_XFY,family_calibrated_strict,intervened,all_protected_boundaries_covered,6255
I_XFY,family_calibrated_strict,intervened,family_calibrated_fired,4545
I_XFY,serve_always,benign,policy_serve_always,1200
I_XFY,serve_always,clean,policy_serve_always,12000
I_XFY,serve_always,intervened,policy_serve_always,10800
I_XFY,union_uncalibrated,benign,all_protected_boundaries_covered,290
I_XFY,union_uncalibrated,benign,union_sensor_fired,910
I_XFY,union_uncalibrated,clean,all_protected_boundaries_covered,8887
I_XFY,union_uncalibrated,clean,union_sensor_fired,3113
I_XFY,union_uncalibrated,intervened,all_protected_boundaries_covered,6074
I_XFY,union_uncalibrated,intervened,union_sensor_fired,4726
I_XFY_trusted,family_calibrated,benign,all_protected_boundaries_covered,535
