n_calibration_half,n_evaluation_half,n_pool,null_draw_sampling,partition_seed,pos_rate_pool,source,gate,split_seed,model_seed,svd_dim,n_test
322,322,644,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,42,42,8,256
322,322,644,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,42,43,8,256
322,322,644,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,43,42,8,256
322,322,644,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,43,43,8,256
322,322,644,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,44,42,8,256
322,322,644,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,44,43,8,256
322,322,644,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,45,42,8,256
322,322,644,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,45,43,8,256
322,322,644,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,46,42,8,256
322,322,644,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,46,43,8,256
322,322,644,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,42,42,10,256
322,322,644,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,42,43,10,256
322,322,644,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,43,42,10,256
322,322,644,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,43,43,10,256
322,322,644,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,44,42,10,256
322,322,644,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,44,43,10,256
322,322,644,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,45,42,10,256
322,322,644,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,45,43,10,256
322,322,644,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,46,42,10,256
322,322,644,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,46,43,10,256
322,322,644,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,42,42,12,256
322,322,644,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,42,43,12,256
322,322,644,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,43,42,12,256
322,322,644,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,43,43,12,256
322,322,644,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,44,42,12,256
322,322,644,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,44,43,12,256
322,322,644,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,45,42,12,256
322,322,644,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,45,43,12,256
322,322,644,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,46,42,12,256
322,322,644,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate2_id_256,46,43,12,256
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,42,42,8,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,42,43,8,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,43,42,8,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,43,43,8,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,44,42,8,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,44,43,8,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,45,42,8,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,45,43,8,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,46,42,8,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,46,43,8,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,42,42,10,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,42,43,10,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,43,42,10,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,43,43,10,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,44,42,10,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,44,43,10,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,45,42,10,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,45,43,10,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,46,42,10,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,46,43,10,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,42,42,12,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,42,43,12,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,43,42,12,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,43,43,12,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,44,42,12,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,44,43,12,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,45,42,12,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,45,43,12,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,46,42,12,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3a_ood_tue_wed,46,43,12,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,42,42,8,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,42,43,8,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,43,42,8,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,43,43,8,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,44,42,8,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,44,43,8,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,45,42,8,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,45,43,8,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,46,42,8,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,46,43,8,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,42,42,10,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,42,43,10,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,43,42,10,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,43,43,10,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,44,42,10,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,44,43,10,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,45,42,10,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,45,43,10,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,46,42,10,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,46,43,10,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,42,42,12,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,42,43,12,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,43,42,12,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,43,43,12,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,44,42,12,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,44,43,12,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,45,42,12,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,45,43,12,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,46,42,12,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3b_ood_tue_fri_portscan,46,43,12,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,42,42,8,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,42,43,8,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,43,42,8,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,43,43,8,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,44,42,8,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,44,43,8,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,45,42,8,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,45,43,8,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,46,42,8,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,46,43,8,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,42,42,10,128
1436,1436,2872,simple random without replacement within one half,42,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,42,43,10,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,43,42,10,128
1436,1436,2872,simple random without replacement within one half,43,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,43,43,10,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,44,42,10,128
1436,1436,2872,simple random without replacement within one half,44,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,44,43,10,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,45,42,10,128
1436,1436,2872,simple random without replacement within one half,45,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,45,43,10,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,46,42,10,128
1436,1436,2872,simple random without replacement within one half,46,0.5,evaluation-side rows not selected into the frozen evaluation batch,gate3c_ood_wed_thu_webattacks,46,43,10,128
