condition,svd_dim,model,metric,mean,std,ci95_low,ci95_high,n
P0_reference,8,qsvc_zz_r1,clean_balanced_accuracy,0.734375,0.02591113117465156,0.7022020812676999,0.7665479187323001,5
P0_reference,8,svc_rbf,clean_balanced_accuracy,0.753125,0.005793905068043487,0.7459309166680002,0.7603190833319999,5
P0_reference,10,qsvc_zz_r1,clean_balanced_accuracy,0.728125,0.019255871162290997,0.7042156780237332,0.7520343219762669,5
P0_reference,10,svc_rbf,clean_balanced_accuracy,0.746875,0.007513821899090369,0.7375453578589843,0.7562046421410156,5
P0_reference,12,qsvc_zz_r1,clean_balanced_accuracy,0.746875,0.024766980443980246,0.716122732038493,0.7776272679615069,5
P0_reference,12,svc_rbf,clean_balanced_accuracy,0.778125,0.023984502239076173,0.7483443070549014,0.8079056929450985,5
PA_standard_standard,8,qsvc_zz_r1,clean_balanced_accuracy,0.72734375,0.022337466336712183,0.6996081222386159,0.755079377761384,5
PA_standard_standard,8,svc_rbf,clean_balanced_accuracy,0.753125,0.005793905068043487,0.7459309166680002,0.7603190833319999,5
PA_standard_standard,10,qsvc_zz_r1,clean_balanced_accuracy,0.7203125,0.030832167594798617,0.6820293075109538,0.7585956924890462,5
PA_standard_standard,10,svc_rbf,clean_balanced_accuracy,0.746875,0.007513821899090369,0.7375453578589843,0.7562046421410156,5
PA_standard_standard,12,qsvc_zz_r1,clean_balanced_accuracy,0.72734375,0.03421036569658018,0.6848659705491712,0.7698215294508287,5
PA_standard_standard,12,svc_rbf,clean_balanced_accuracy,0.778125,0.023984502239076173,0.7483443070549014,0.8079056929450985,5
PB_minmax2pi_minmax2pi,8,qsvc_zz_r1,clean_balanced_accuracy,0.734375,0.02591113117465156,0.7022020812676999,0.7665479187323001,5
PB_minmax2pi_minmax2pi,8,svc_rbf,clean_balanced_accuracy,0.75078125,0.008468548198702656,0.7402661585846175,0.7612963414153824,5
PB_minmax2pi_minmax2pi,10,qsvc_zz_r1,clean_balanced_accuracy,0.728125,0.019255871162290997,0.7042156780237332,0.7520343219762669,5
PB_minmax2pi_minmax2pi,10,svc_rbf,clean_balanced_accuracy,0.75,0.00390625,0.7451497500070166,0.7548502499929834,5
PB_minmax2pi_minmax2pi,12,qsvc_zz_r1,clean_balanced_accuracy,0.746875,0.024766980443980246,0.716122732038493,0.7776272679615069,5
PB_minmax2pi_minmax2pi,12,svc_rbf,clean_balanced_accuracy,0.75625,0.011912461470294457,0.7414587254623458,0.7710412745376541,5
