mechanism,attack_class,strength,regime,n,n_fire,detection_rate
mean_shift,adaptive,0.02,I_X,600,4,0.0066666666666666
mean_shift,adaptive,0.05,I_X,600,47,0.0783333333333333
mean_shift,adaptive,0.1,I_X,600,205,0.3416666666666667
mean_shift,adaptive,0.25,I_X,600,474,0.79
mean_shift,adaptive,0.5,I_X,600,534,0.89
mean_shift,adaptive,0.02,I_XF,600,36,0.06
mean_shift,adaptive,0.05,I_XF,600,142,0.2366666666666666
mean_shift,adaptive,0.1,I_XF,600,290,0.4833333333333333
mean_shift,adaptive,0.25,I_XF,600,481,0.8016666666666666
mean_shift,adaptive,0.5,I_XF,600,540,0.9
mean_shift,control,0.02,I_X,600,600,1.0
mean_shift,control,0.05,I_X,600,600,1.0
mean_shift,control,0.1,I_X,600,600,1.0
mean_shift,control,0.02,I_XF,600,584,0.9733333333333334
mean_shift,control,0.05,I_XF,600,600,1.0
mean_shift,control,0.1,I_XF,600,600,1.0
scaling_drift,adaptive,0.02,I_X,600,30,0.05
scaling_drift,adaptive,0.05,I_X,600,210,0.35
scaling_drift,adaptive,0.1,I_X,600,339,0.565
scaling_drift,adaptive,0.25,I_X,600,453,0.755
scaling_drift,adaptive,0.5,I_X,600,525,0.875
scaling_drift,adaptive,0.02,I_XF,600,135,0.225
scaling_drift,adaptive,0.05,I_XF,600,280,0.4666666666666667
scaling_drift,adaptive,0.1,I_XF,600,397,0.6616666666666666
scaling_drift,adaptive,0.25,I_XF,600,474,0.79
scaling_drift,adaptive,0.5,I_XF,600,530,0.8833333333333333
scaling_drift,control,0.02,I_X,600,597,0.995
scaling_drift,control,0.05,I_X,600,600,1.0
scaling_drift,control,0.1,I_X,600,600,1.0
scaling_drift,control,0.02,I_XF,600,578,0.9633333333333334
scaling_drift,control,0.05,I_XF,600,597,0.995
scaling_drift,control,0.1,I_XF,600,600,1.0
