key,original_v1_3_3,title_verified,authors_verified,venue_verified,year_verified,identifier_type,identifier,primary_url,publication_status,cutoff_ok,verified,action,notes
Ahmed2026,yes,yes,yes,yes,yes,arXiv,2604.26430,https://arxiv.org/abs/2604.26430,preprint,yes,VERIFIED,none,Submitted before cutoff
Alsaedi2020,yes,yes,yes,yes,yes,DOI,10.1109/ACCESS.2020.3022862,https://doi.org/10.1109/ACCESS.2020.3022862,published,yes,VERIFIED,corrected-author,Primary institutional record and DOI use Abdun Mahmood
Arp2022,yes,yes,yes,yes,yes,URL,USENIX-Security-22,https://www.usenix.org/conference/usenixsecurity22/presentation/arp,published,yes,VERIFIED,completed-metadata,Official USENIX proceedings
Ghosh2025,yes,yes,yes,yes,yes,DOI,10.1109/JPROC.2025.3630989,https://doi.org/10.1109/JPROC.2025.3630989,published,yes,VERIFIED,none,Published version
Ginart2022,yes,yes,yes,yes,yes,URL,PMLR-v151-ginart22a,https://proceedings.mlr.press/v151/ginart22a.html,published,yes,VERIFIED,corrected-authors,Antonio A. Ginart Martin Jinye Zhang and James Zou only
JavadiAbhari2024,yes,yes,yes,yes,yes,arXiv,2405.08810,https://arxiv.org/abs/2405.08810,preprint,yes,VERIFIED,none,Complete author list from arXiv
Koebler2025,yes,yes,yes,yes,yes,URL,PMLR-v258-koebler25a,https://proceedings.mlr.press/v258/koebler25a.html,published,yes,VERIFIED,replaced-metadata,Correct PMLR paper authors title and pages
Li2020,yes,yes,yes,yes,yes,DOI,10.1145/3428218,https://doi.org/10.1145/3428218,published,yes,VERIFIED,none,Article 150
Lipton2018,yes,yes,yes,yes,yes,URL,PMLR-v80-lipton18a,https://proceedings.mlr.press/v80/lipton18a.html,published,yes,VERIFIED,none,Official PMLR proceedings
Lu2025,yes,yes,yes,yes,yes,DOI,10.1145/3716368.3735264,https://doi.org/10.1145/3716368.3735264,published,yes,VERIFIED,none,Published GLVLSI paper
Luo2026,yes,yes,yes,yes,yes,DOI,10.1007/978-3-032-22774-4_8,https://doi.org/10.1007/978-3-032-22774-4_8,published,yes,VERIFIED,none,Published FASE chapter
Moustafa2015,yes,yes,yes,yes,yes,DOI,10.1109/MilCIS.2015.7348942,https://doi.org/10.1109/MilCIS.2015.7348942,published,yes,VERIFIED,completed-metadata,Pages and publisher added
Oliveira2024,yes,yes,yes,yes,yes,DOI,10.1109/TDSC.2023.3313934,https://doi.org/10.1109/TDSC.2023.3313934,published,yes,VERIFIED,none,Published TDSC article
Paltenghi2023,yes,yes,yes,yes,yes,DOI,10.1109/ICSE48619.2023.00202,https://doi.org/10.1109/ICSE48619.2023.00202,published,yes,VERIFIED,completed-metadata,Pages and publisher added
